Year,Units,timeseries,Value
2010,1 000 tonnes,municipal waste recycled,30774.0
2011,1 000 tonnes,municipal waste recycled,31633.0
2012,1 000 tonnes,municipal waste recycled,32460.0
2013,1 000 tonnes,municipal waste recycled,31629.0
2014,1 000 tonnes,municipal waste recycled,33544.0
2015,1 000 tonnes,municipal waste recycled,34453.0
2016,1 000 tonnes,municipal waste recycled,34958.0
2017,1 000 tonnes,municipal waste recycled,34783.0
2010,%,national recycling rate of municipal waste,62.5
2011,%,national recycling rate of municipal waste,63.0
2012,%,national recycling rate of municipal waste,65.2
2013,%,national recycling rate of municipal waste,63.8
2014,%,national recycling rate of municipal waste,65.6
2015,%,national recycling rate of municipal waste,66.7
2016,%,national recycling rate of municipal waste,67.1
2017,%,national recycling rate of municipal waste,67.2
2010,1 000 tonnes,total waste recycled,257350.0
2011,1 000 tonnes,total waste recycled,267105.0
2012,1 000 tonnes,total waste recycled,265363.0
2013,1 000 tonnes,total waste recycled,265552.0
2014,1 000 tonnes,total waste recycled,276265.0
2015,1 000 tonnes,total waste recycled,274619.0
2016,1 000 tonnes,total waste recycled,287631.0
2017,1 000 tonnes,total waste recycled,284847.0
2010,%,national recycling rate of total waste,69.0
2011,%,national recycling rate of total waste,69.1
2012,%,national recycling rate of total waste,69.7
2013,%,national recycling rate of total waste,68.8
2014,%,national recycling rate of total waste,68.9
2015,%,national recycling rate of total waste,68.3
2016,%,national recycling rate of total waste,69.9
2017,%,national recycling rate of total waste,69.1
