Year,Units,region,GeoCode,Value
2010,proportion of r&d expenditures to gdp (%),,,2.7
2011,proportion of r&d expenditures to gdp (%),,,2.8
2012,proportion of r&d expenditures to gdp (%),,,2.9
2013,proportion of r&d expenditures to gdp (%),,,2.8
2014,proportion of r&d expenditures to gdp (%),,,2.9
2015,proportion of r&d expenditures to gdp (%),,,2.9
2016,proportion of r&d expenditures to gdp (%),,,2.9
2017,proportion of r&d expenditures to gdp (%),,,3.0
2018,proportion of r&d expenditures to gdp (%),,,
2010,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.429268082796651
2011,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.796659132447309
2012,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.91563734495782
2013,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.77326951630637
2014,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.90925414346172
2015,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.9393317361695495
2016,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,4.92
2017,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,
2018,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2.0,
2010,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.02585023259919
2011,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.00072086965266
2012,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.09820125057356
2013,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.1331617750083103
2014,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.1686179044546097
2015,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.16564118499182
2016,proportion of r&d expenditures to gdp (%),bavaria,33.0,3.17
2017,proportion of r&d expenditures to gdp (%),bavaria,33.0,
2018,proportion of r&d expenditures to gdp (%),bavaria,33.0,
2010,proportion of r&d expenditures to gdp (%),berlin,11.0,3.42760889772759
2011,proportion of r&d expenditures to gdp (%),berlin,11.0,3.3375076487092596
2012,proportion of r&d expenditures to gdp (%),berlin,11.0,3.43358853135013
2013,proportion of r&d expenditures to gdp (%),berlin,11.0,3.56258849479428
2014,proportion of r&d expenditures to gdp (%),berlin,11.0,3.6463835279249
2015,proportion of r&d expenditures to gdp (%),berlin,11.0,3.5623878956040698
2016,proportion of r&d expenditures to gdp (%),berlin,11.0,3.49
2017,proportion of r&d expenditures to gdp (%),berlin,11.0,
2018,proportion of r&d expenditures to gdp (%),berlin,11.0,
2010,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.41955174792905
2011,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.6540319756926
2012,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.6520945286475601
2013,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.54213081172429
2014,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.5839147278612802
2015,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.6465535610629298
2016,proportion of r&d expenditures to gdp (%),brandenburg,7.0,1.73
2017,proportion of r&d expenditures to gdp (%),brandenburg,7.0,
2018,proportion of r&d expenditures to gdp (%),brandenburg,7.0,
2010,proportion of r&d expenditures to gdp (%),bremen,5.0,2.63665412530188
2011,proportion of r&d expenditures to gdp (%),bremen,5.0,2.7183690812111903
2012,proportion of r&d expenditures to gdp (%),bremen,5.0,2.61531931407829
2013,proportion of r&d expenditures to gdp (%),bremen,5.0,2.7109491378226696
2014,proportion of r&d expenditures to gdp (%),bremen,5.0,2.8521522745671404
2015,proportion of r&d expenditures to gdp (%),bremen,5.0,2.8003206272946697
2016,proportion of r&d expenditures to gdp (%),bremen,5.0,2.84
2017,proportion of r&d expenditures to gdp (%),bremen,5.0,
2018,proportion of r&d expenditures to gdp (%),bremen,5.0,
2010,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.08532935699702
2011,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.1901654480493797
2012,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.2423115684906
2013,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.2536576622807996
2014,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.34843279339937
2015,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.240644858149
2016,proportion of r&d expenditures to gdp (%),hamburg,23.0,2.22
2017,proportion of r&d expenditures to gdp (%),hamburg,23.0,
2018,proportion of r&d expenditures to gdp (%),hamburg,23.0,
2010,proportion of r&d expenditures to gdp (%),hesse,6.0,2.98240844332421
2011,proportion of r&d expenditures to gdp (%),hesse,6.0,2.90019778465375
2012,proportion of r&d expenditures to gdp (%),hesse,6.0,3.01416227138444
2013,proportion of r&d expenditures to gdp (%),hesse,6.0,2.81030419718511
2014,proportion of r&d expenditures to gdp (%),hesse,6.0,2.87656389222736
2015,proportion of r&d expenditures to gdp (%),hesse,6.0,2.8238795538367403
2016,proportion of r&d expenditures to gdp (%),hesse,6.0,2.88
2017,proportion of r&d expenditures to gdp (%),hesse,6.0,
2018,proportion of r&d expenditures to gdp (%),hesse,6.0,
2010,proportion of r&d expenditures to gdp (%),lower saxony,8.0,2.56808458492327
2011,proportion of r&d expenditures to gdp (%),lower saxony,8.0,2.74230411805037
2012,proportion of r&d expenditures to gdp (%),lower saxony,8.0,2.79333012727938
2013,proportion of r&d expenditures to gdp (%),lower saxony,8.0,2.85844573230929
2014,proportion of r&d expenditures to gdp (%),lower saxony,8.0,2.91483075957623
2015,proportion of r&d expenditures to gdp (%),lower saxony,8.0,3.4541917352771603
2016,proportion of r&d expenditures to gdp (%),lower saxony,8.0,3.31
