Year,sex,COMMENT_OBS,Value
2010,,r,5.6
2011,,r,5.8
2012,,r,6.1
2013,,r,6.1
2014,,r,6.7
2015,,r,6.7
2016,,r,6.5
2017,,r,6.1
2018,,r,6.0
2019,,r,4.8
2020,,s,6.1
2021,,r,6.0
2022,,e,4.8
2023,,e,4.3
2010,female,r,6.4
2011,female,r,6.8
2012,female,r,7.2
2013,female,r,7.2
2014,female,r,7.4
2015,female,r,7.4
2016,female,r,7.8
2017,female,r,7.1
2018,female,r,6.8
2019,female,r,5.7
2020,female,r,6.8
2021,female,r,6.6
2022,female,r,5.5
2023,female,r,5.0
2010,male,r,4.9
2011,male,r,4.9
2012,male,r,4.9
2013,male,r,5.0
2014,male,r,5.9
2015,male,r,5.9
2016,male,r,5.2
2017,male,r,5.0
2018,male,r,5.2
2019,male,r,3.9
2020,male,r,5.3
2021,male,r,5.4
2022,male,r,4.0
2023,male,r,3.6
