Year,timeseries,education level,technology,subject,Value
2010,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2011,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,97.6
2012,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2013,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2014,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2015,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2016,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,94.5
2017,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2018,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2019,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2020,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,reading,
2010,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2011,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,97.3
2012,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2013,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2014,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2015,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,96.3
2016,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2017,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2018,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2019,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2020,children and youth with a minimum proficiency level in reading and mathematics,b) at the end of lower primary education,,mathematics,
2010,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2011,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2012,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,85.6
2013,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2014,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2015,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,83.7
2016,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2017,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2018,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,79.3
2019,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2020,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,reading,
2010,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2011,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2012,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,82.3
2013,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2014,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2015,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,82.8
2016,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2017,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2018,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,78.8
2019,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
2020,children and youth with a minimum proficiency level in reading and mathematics,c) at the end of lower secondary education,,mathematics,
