Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2011,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2012,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2013,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2014,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2015,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2016,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2017,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2018,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2019,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2020,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),.,,,
2021,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),,,,99.8
2022,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),,,,99.8
2023,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),,,,99.9
2024,gini coefficient of equivalised disposable income before social transfers (pre-fiscal),,,,100.0
2010,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2011,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2012,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2013,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2014,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2015,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2016,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2017,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2018,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2019,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2020,gini coefficient of equivalised disposable income (post-fiscal),.,,,
2021,gini coefficient of equivalised disposable income (post-fiscal),,,,99.9
2022,gini coefficient of equivalised disposable income (post-fiscal),,,,99.9
2023,gini coefficient of equivalised disposable income (post-fiscal),,,,99.9
2024,gini coefficient of equivalised disposable income (post-fiscal),,,,99.9
2010,redistributive impact of fiscal policy,.,,,
2011,redistributive impact of fiscal policy,.,,,
2012,redistributive impact of fiscal policy,.,,,
2013,redistributive impact of fiscal policy,.,,,
2014,redistributive impact of fiscal policy,.,,,
2015,redistributive impact of fiscal policy,.,,,
2016,redistributive impact of fiscal policy,.,,,
2017,redistributive impact of fiscal policy,.,,,
2018,redistributive impact of fiscal policy,.,,,
2019,redistributive impact of fiscal policy,.,,,
2020,redistributive impact of fiscal policy,.,,,
2021,redistributive impact of fiscal policy,,,,99.5
2022,redistributive impact of fiscal policy,,,,99.8
2023,redistributive impact of fiscal policy,,,,99.9
2024,redistributive impact of fiscal policy,,,,99.9
