Year,Units,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,.,,,
2011,million eur,,.,,,
2012,million eur,,.,,,
2013,million eur,,.,,,
2014,million eur,,.,,,
2015,million eur,,.,,,
2016,million eur,,.,,,
2017,million eur,,.,,,
2018,million eur,,.,,,
2019,million eur,,.,,,
2020,million eur,,.,,,
2021,million eur,,,,,2.8
2022,million eur,,,,,67.0
2023,million eur,,,,,96.9
2024,million eur,,,,,99.3
2010,million eur,oda (net disbursements),.,,,
2011,million eur,oda (net disbursements),.,,,
2012,million eur,oda (net disbursements),.,,,
2013,million eur,oda (net disbursements),.,,,
2014,million eur,oda (net disbursements),.,,,
2015,million eur,oda (net disbursements),.,,,
2016,million eur,oda (net disbursements),.,,,
2017,million eur,oda (net disbursements),.,,,
2018,million eur,oda (net disbursements),.,,,
2019,million eur,oda (net disbursements),.,,,
2020,million eur,oda (net disbursements),.,,,
2021,million eur,oda (net disbursements),,,,7.2
2022,million eur,oda (net disbursements),,,,69.9
2023,million eur,oda (net disbursements),,,,98.9
2024,million eur,oda (net disbursements),,,,99.5
2010,million eur,oof (net disbursements),.,,,
2011,million eur,oof (net disbursements),.,,,
2012,million eur,oof (net disbursements),.,,,
2013,million eur,oof (net disbursements),.,,,
2014,million eur,oof (net disbursements),.,,,
2015,million eur,oof (net disbursements),.,,,
2016,million eur,oof (net disbursements),.,,,
2017,million eur,oof (net disbursements),.,,,
2018,million eur,oof (net disbursements),.,,,
2019,million eur,oof (net disbursements),.,,,
2020,million eur,oof (net disbursements),.,,,
2021,million eur,oof (net disbursements),,,,8.5
2022,million eur,oof (net disbursements),,,,75.5
2023,million eur,oof (net disbursements),,,,96.0
2024,million eur,oof (net disbursements),,,,98.3
2010,million eur,officially supported export credits (net disbursements),,,,1.9
2011,million eur,officially supported export credits (net disbursements),,,,-0.4
2012,million eur,officially supported export credits (net disbursements),,,,2.0
2013,million eur,officially supported export credits (net disbursements),,,,2.4
2014,million eur,officially supported export credits (net disbursements),,,,0.7
2015,million eur,officially supported export credits (net disbursements),,,,4.4
2016,million eur,officially supported export credits (net disbursements),,,,1.9
2017,million eur,officially supported export credits (net disbursements),,,,3.1
2018,million eur,officially supported export credits (net disbursements),,,,4.7
2019,million eur,officially supported export credits (net disbursements),,,,1.3
2020,million eur,officially supported export credits (net disbursements),|,,,13.2
2021,million eur,officially supported export credits (net disbursements),,,,-2.1
2022,million eur,officially supported export credits (net disbursements),,,,-2.2
2023,million eur,officially supported export credits (net disbursements),,,,5.9
2024,million eur,officially supported export credits (net disbursements),,,,4.9
2010,million eur,private sector flows at market terms (net disbursement),,,,2.4
2011,million eur,private sector flows at market terms (net disbursement),,,,-1.0
2012,million eur,private sector flows at market terms (net disbursement),,,,3.8
2013,million eur,private sector flows at market terms (net disbursement),,,,1.1
2014,million eur,private sector flows at market terms (net disbursement),,,,-2.0
2015,million eur,private sector flows at market terms (net disbursement),,,,5.5
2016,million eur,private sector flows at market terms (net disbursement),,,,3.1
2017,million eur,private sector flows at market terms (net disbursement),,,,4.4
2018,million eur,private sector flows at market terms (net disbursement),,,,3.3
2019,million eur,private sector flows at market terms (net disbursement),,,,4.6
2020,million eur,private sector flows at market terms (net disbursement),|,,,8.3
2021,million eur,private sector flows at market terms (net disbursement),,,,-4.9
2022,million eur,private sector flows at market terms (net disbursement),,,,2.5
2023,million eur,private sector flows at market terms (net disbursement),,,,6.2
2024,million eur,private sector flows at market terms (net disbursement),,,,4.8
2010,million eur,private concessional flows (net disbursements),,,,9.2
2011,million eur,private concessional flows (net disbursements),,,,9.7
2012,million eur,private concessional flows (net disbursements),,,,9.6
2013,million eur,private concessional flows (net disbursements),,,,9.4
2014,million eur,private concessional flows (net disbursements),,,,10.5
2015,million eur,private concessional flows (net disbursements),,,,10.2
2016,million eur,private concessional flows (net disbursements),,,,9.7
2017,million eur,private concessional flows (net disbursements),,,,9.4
2018,million eur,private concessional flows (net disbursements),,,,9.8
2019,million eur,private concessional flows (net disbursements),,,,9.0
2020,million eur,private concessional flows (net disbursements),|,,,10.2
2021,million eur,private concessional flows (net disbursements),,,,9.9
2022,million eur,private concessional flows (net disbursements),,,,8.5
2023,million eur,private concessional flows (net disbursements),,,,8.3
2024,million eur,private concessional flows (net disbursements),,,,9.0
2010,"million usd, constant prices (2023)",,,,,9.4
2011,"million usd, constant prices (2023)",,,,,8.0
2012,"million usd, constant prices (2023)",,,,,7.8
2013,"million usd, constant prices (2023)",,,,,7.2
2014,"million usd, constant prices (2023)",,,,,8.2
2015,"million usd, constant prices (2023)",,,,,7.8
2016,"million usd, constant prices (2023)",,,,,7.8
2017,"million usd, constant prices (2023)",,,,,6.9
2018,"million usd, constant prices (2023)",,,,,7.6
2019,"million usd, constant prices (2023)",,,,,5.7
2020,"million usd, constant prices (2023)",,|,,,9.9
2021,"million usd, constant prices (2023)",,,,,9.3
