Year,Units,timeseries,Value
2010,%,municipal solid waste regularly collected and treated,100
2011,%,municipal solid waste regularly collected and treated,100
2012,%,municipal solid waste regularly collected and treated,100
2013,%,municipal solid waste regularly collected and treated,100
2014,%,municipal solid waste regularly collected and treated,100
2015,%,municipal solid waste regularly collected and treated,100
2016,%,municipal solid waste regularly collected and treated,100
2017,%,municipal solid waste regularly collected and treated,100
2018,%,municipal solid waste regularly collected and treated,100
2019,%,municipal solid waste regularly collected and treated,100
2020,%,municipal solid waste regularly collected and treated,100
2010,1 000 t,total municipal solid waste generated,49237
2011,1 000 t,total municipal solid waste generated,50237
2012,1 000 t,total municipal solid waste generated,49759
2013,1 000 t,total municipal solid waste generated,49570
2014,1 000 t,total municipal solid waste generated,51102
2015,1 000 t,total municipal solid waste generated,51625
2016,1 000 t,total municipal solid waste generated,52133
2017,1 000 t,total municipal solid waste generated,51790
2018,1 000 t,total municipal solid waste generated,50260
2019,1 000 t,total municipal solid waste generated,
2020,1 000 t,total municipal solid waste generated,
