Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,non-sexual harassment,,,,,,28870
2011,number,non-sexual harassment,,,,,,26876
2012,number,non-sexual harassment,,,,,,26360
2013,number,non-sexual harassment,,,,,,25517
2014,number,non-sexual harassment,,,,,,23303
2015,number,non-sexual harassment,,,,,,21070
2016,number,non-sexual harassment,,,,,,19949
2017,number,non-sexual harassment,,,,,,19750
2018,number,non-sexual harassment,,,,,,20280
2019,number,non-sexual harassment,,,,,,20204
2020,number,non-sexual harassment,,,,,,20997
2021,number,non-sexual harassment,,,,,,22091
2022,number,non-sexual harassment,,,,,,23082
2023,number,non-sexual harassment,,,,,,25138
2024,number,non-sexual harassment,,,,,,26703
2025,number,non-sexual harassment,,,,,,2761
2010,number,non-sexual harassment,,female,,,,22909
2011,number,non-sexual harassment,,female,,,,21414
2012,number,non-sexual harassment,,female,,,,21217
2013,number,non-sexual harassment,,female,,,,20455
2014,number,non-sexual harassment,,female,,,,18682
2015,number,non-sexual harassment,,female,,,,16941
2016,number,non-sexual harassment,,female,,,,16115
2017,number,non-sexual harassment,,female,,,,15999
2018,number,non-sexual harassment,,female,,,,16456
2019,number,non-sexual harassment,,female,,,,16432
2020,number,non-sexual harassment,,female,,,,16974
2021,number,non-sexual harassment,,female,,,,17693
2022,number,non-sexual harassment,,female,,,,18628
2023,number,non-sexual harassment,,female,,,,20089
2024,number,non-sexual harassment,,female,,,,21382
2025,number,non-sexual harassment,,female,,,,22154
2010,number,non-sexual harassment,,male,,,,5961
2011,number,non-sexual harassment,,male,,,,5462
2012,number,non-sexual harassment,,male,,,,5143
2013,number,non-sexual harassment,,male,,,,5062
2014,number,non-sexual harassment,,male,,,,4621
2015,number,non-sexual harassment,,male,,,,4129
2016,number,non-sexual harassment,,male,,,,3834
2017,number,non-sexual harassment,,male,,,,3751
2018,number,non-sexual harassment,,male,,,,3824
2019,number,non-sexual harassment,,male,,,,3772
2020,number,non-sexual harassment,,male,,,,4023
2021,number,non-sexual harassment,,male,,,,4398
2022,number,non-sexual harassment,,male,,,,4454
2023,number,non-sexual harassment,,male,,,,5049
2024,number,non-sexual harassment,,male,,,,5321
2025,number,non-sexual harassment,,male,,,,5456
2010,number,non-sexual harassment,13 years and younger,,,,,443
2011,number,non-sexual harassment,13 years and younger,,,,,416
2012,number,non-sexual harassment,13 years and younger,,,,,432
2013,number,non-sexual harassment,13 years and younger,,,,,427
2014,number,non-sexual harassment,13 years and younger,,,,,377
2015,number,non-sexual harassment,13 years and younger,,,,,343
2016,number,non-sexual harassment,13 years and younger,,,,,336
2017,number,non-sexual harassment,13 years and younger,,,,,338
2018,number,non-sexual harassment,13 years and younger,,,,,346
2019,number,non-sexual harassment,13 years and younger,,,,,398
2020,number,non-sexual harassment,13 years and younger,,,,,380
2021,number,non-sexual harassment,13 years and younger,,,,,404
2022,number,non-sexual harassment,13 years and younger,,,,,460
2023,number,non-sexual harassment,13 years and younger,,,,,579
2024,number,non-sexual harassment,13 years and younger,,,,,681
2025,number,non-sexual harassment,13 years and younger,,,,,719
2010,number,non-sexual harassment,13 years and younger,female,,,,272
2011,number,non-sexual harassment,13 years and younger,female,,,,263
2012,number,non-sexual harassment,13 years and younger,female,,,,310
2013,number,non-sexual harassment,13 years and younger,female,,,,273
2014,number,non-sexual harassment,13 years and younger,female,,,,260
2015,number,non-sexual harassment,13 years and younger,female,,,,221
2016,number,non-sexual harassment,13 years and younger,female,,,,221
2017,number,non-sexual harassment,13 years and younger,female,,,,212
2018,number,non-sexual harassment,13 years and younger,female,,,,239
2019,number,non-sexual harassment,13 years and younger,female,,,,241
2020,number,non-sexual harassment,13 years and younger,female,,,,226
2021,number,non-sexual harassment,13 years and younger,female,,,,264
2022,number,non-sexual harassment,13 years and younger,female,,,,313
2023,number,non-sexual harassment,13 years and younger,female,,,,353
2024,number,non-sexual harassment,13 years and younger,female,,,,404
2025,number,non-sexual harassment,13 years and younger,female,,,,425
2010,number,non-sexual harassment,13 years and younger,male,,,,171
2011,number,non-sexual harassment,13 years and younger,male,,,,153
2012,number,non-sexual harassment,13 years and younger,male,,,,122
2013,number,non-sexual harassment,13 years and younger,male,,,,154
2014,number,non-sexual harassment,13 years and younger,male,,,,117
2015,number,non-sexual harassment,13 years and younger,male,,,,122
2016,number,non-sexual harassment,13 years and younger,male,,,,115
2017,number,non-sexual harassment,13 years and younger,male,,,,126
2018,number,non-sexual harassment,13 years and younger,male,,,,107
2019,number,non-sexual harassment,13 years and younger,male,,,,157
2020,number,non-sexual harassment,13 years and younger,male,,,,154
2021,number,non-sexual harassment,13 years and younger,male,,,,140
2022,number,non-sexual harassment,13 years and younger,male,,,,147
2023,number,non-sexual harassment,13 years and younger,male,,,,226
2024,number,non-sexual harassment,13 years and younger,male,,,,277
2025,number,non-sexual harassment,13 years and younger,male,,,,294
2010,number,non-sexual harassment,14 to under 18 years,,,,,1289
2011,number,non-sexual harassment,14 to under 18 years,,,,,1227
2012,number,non-sexual harassment,14 to under 18 years,,,,,1101
