Year,Units,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"million usd, constant prices (2023)",water supply & sanitation,,,,663277.872
2011,"million usd, constant prices (2023)",water supply & sanitation,,,,721906.235
2012,"million usd, constant prices (2023)",water supply & sanitation,,,,647472.574
2013,"million usd, constant prices (2023)",water supply & sanitation,,,,691191.449
2014,"million usd, constant prices (2023)",water supply & sanitation,,,,95006.743
2015,"million usd, constant prices (2023)",water supply & sanitation,,,,1016743.106
2016,"million usd, constant prices (2023)",water supply & sanitation,,,,999487.083
2017,"million usd, constant prices (2023)",water supply & sanitation,,,,1055998.531
2018,"million usd, constant prices (2023)",water supply & sanitation,,,,1088453.571
2019,"million usd, constant prices (2023)",water supply & sanitation,,,,1015539.574
2020,"million usd, constant prices (2023)",water supply & sanitation,,,,1132564.694
2021,"million usd, constant prices (2023)",water supply & sanitation,,,,886783.804
2022,"million usd, constant prices (2023)",water supply & sanitation,,,,937887.546
2023,"million usd, constant prices (2023)",water supply & sanitation,,,,958526.412
2024,"million usd, constant prices (2023)",water supply & sanitation,,,,1360072.059
2010,"million usd, constant prices (2023)",transport and storage,,,,392445.209
2011,"million usd, constant prices (2023)",transport and storage,,,,273620.189
2012,"million usd, constant prices (2023)",transport and storage,,,,349358.457
2013,"million usd, constant prices (2023)",transport and storage,,,,459091.052
2014,"million usd, constant prices (2023)",transport and storage,,,,146548.705
2015,"million usd, constant prices (2023)",transport and storage,,,,588431.591
2016,"million usd, constant prices (2023)",transport and storage,,,,508242.248
2017,"million usd, constant prices (2023)",transport and storage,,,,321518.139
2018,"million usd, constant prices (2023)",transport and storage,,,,449975.083
2019,"million usd, constant prices (2023)",transport and storage,,,,632753.577
2020,"million usd, constant prices (2023)",transport and storage,,,,457726.790
2021,"million usd, constant prices (2023)",transport and storage,,,,249469.487
2022,"million usd, constant prices (2023)",transport and storage,,,,329566.855
2023,"million usd, constant prices (2023)",transport and storage,,,,389473.037
2024,"million usd, constant prices (2023)",transport and storage,,,,472617.868
2010,"million usd, constant prices (2023)",communications,,,,30337.952
2011,"million usd, constant prices (2023)",communications,,,,11341.024
2012,"million usd, constant prices (2023)",communications,,,,7875.446
2013,"million usd, constant prices (2023)",communications,,,,32207.326
2014,"million usd, constant prices (2023)",communications,,,,78913.659
2015,"million usd, constant prices (2023)",communications,,,,34258.275
2016,"million usd, constant prices (2023)",communications,,,,18668.141
2017,"million usd, constant prices (2023)",communications,,,,35700.108
2018,"million usd, constant prices (2023)",communications,,,,37152.063
2019,"million usd, constant prices (2023)",communications,,,,72458.881
2020,"million usd, constant prices (2023)",communications,,,,73543.804
2021,"million usd, constant prices (2023)",communications,,,,108345.896
2022,"million usd, constant prices (2023)",communications,,,,152659.185
2023,"million usd, constant prices (2023)",communications,,,,59899.038
2024,"million usd, constant prices (2023)",communications,,,,52766.236
2010,"million usd, constant prices (2023)",energy,,,,1541403.069
2011,"million usd, constant prices (2023)",energy,,,,1306215.518
2012,"million usd, constant prices (2023)",energy,,,,883059.357
2013,"million usd, constant prices (2023)",energy,,,,1302475.102
2014,"million usd, constant prices (2023)",energy,,,,1689936.222
2015,"million usd, constant prices (2023)",energy,,,,2206091.777
2016,"million usd, constant prices (2023)",energy,,,,2281772.448
2017,"million usd, constant prices (2023)",energy,,,,1975850.102
2018,"million usd, constant prices (2023)",energy,,,,2241472.263
2019,"million usd, constant prices (2023)",energy,,,,2225422.648
2020,"million usd, constant prices (2023)",energy,,,,1986819.055
2021,"million usd, constant prices (2023)",energy,,,,1783600.044
