Year,Units,type of obligation under multilateral environmental agreements,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2011,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2012,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2013,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2014,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2015,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2016,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2017,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2018,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2019,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2020,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2021,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2022,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2023,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2024,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2025,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2026,"yes=1, no=0",contracting party,,,,(1) basel convention,1
2010,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2011,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2012,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2013,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2014,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2015,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2016,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2017,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2018,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2019,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2020,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2021,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2022,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2023,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2024,"yes=1, no=0",fulfilment of reporting obligations,,,,(1) basel convention,1
2015,percentage,compliance with the multilateral environmental agreement,,,,(1) basel convention,100
2020,percentage,compliance with the multilateral environmental agreement,,,,(1) basel convention,100
2025,percentage,compliance with the multilateral environmental agreement,,,,(1) basel convention,100
2010,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2011,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2012,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2013,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2014,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2015,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2016,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2017,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2018,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2019,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2020,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2021,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2022,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2023,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2024,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2025,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2026,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1
2010,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2011,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2012,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2013,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2014,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2015,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2016,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2017,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2018,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2019,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2020,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2021,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2022,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2023,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2024,"yes=1, no=0",fulfilment of reporting obligations,,,,(2) montreal protocol,1
2015,percentage,compliance with the multilateral environmental agreement,,,,(2) montreal protocol,100
2020,percentage,compliance with the multilateral environmental agreement,,,,(2) montreal protocol,100
2025,percentage,compliance with the multilateral environmental agreement,,,,(2) montreal protocol,100
2010,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2011,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2012,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2013,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2014,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2015,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2016,"yes=1, no=0",contracting party,.,,,(3) rotterdam convention,1
2017,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2018,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2019,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2020,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2021,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2022,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2023,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2024,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2025,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2026,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1
2010,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2011,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2012,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2013,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2014,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2015,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2016,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2017,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2018,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2019,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2020,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2021,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2022,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2023,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2024,"yes=1, no=0",fulfilment of reporting obligations,,,,(3) rotterdam convention,1
2015,percentage,compliance with the multilateral environmental agreement,,,,(3) rotterdam convention,100
2020,percentage,compliance with the multilateral environmental agreement,,,,(3) rotterdam convention,100
2025,percentage,compliance with the multilateral environmental agreement,,,,(3) rotterdam convention,100
2010,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2011,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2012,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2013,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2014,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2015,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2016,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2017,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2018,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2019,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2020,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2021,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2022,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2023,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2024,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2025,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2026,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1
2010,"yes=1, no=0",fulfilment of reporting obligations,,,,(4) stockholm convention,1
2011,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2012,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2013,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2014,"yes=1, no=0",fulfilment of reporting obligations,,,,(4) stockholm convention,1
2015,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2016,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2017,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2018,"yes=1, no=0",fulfilment of reporting obligations,,,,(4) stockholm convention,1
2019,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2020,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2021,"yes=1, no=0",fulfilment of reporting obligations,x,,,(4) stockholm convention,
2022,"yes=1, no=0",fulfilment of reporting obligations,,,,(4) stockholm convention,1
2015,percentage,compliance with the multilateral environmental agreement,,,,(4) stockholm convention,100.00
2020,percentage,compliance with the multilateral environmental agreement,,,,(4) stockholm convention,85.71
2025,percentage,compliance with the multilateral environmental agreement,,,,(4) stockholm convention,88.89
2010,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2011,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2012,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2013,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2014,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2015,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2016,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0
2017,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2018,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2019,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2020,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2021,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2022,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2023,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2024,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2025,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2026,"yes=1, no=0",contracting party,,,,(5) minamata convention,1
2010,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2011,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2012,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2013,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2014,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2015,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2016,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2017,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2018,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2019,"yes=1, no=0",fulfilment of reporting obligations,,,,(5) minamata convention,1
2020,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2021,"yes=1, no=0",fulfilment of reporting obligations,,,,(5) minamata convention,1
2022,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2023,"yes=1, no=0",fulfilment of reporting obligations,,,,(5) minamata convention,1
2024,"yes=1, no=0",fulfilment of reporting obligations,x,,,(5) minamata convention,
2025,"yes=1, no=0",fulfilment of reporting obligations,‒,,,(5) minamata convention,0
2015,percentage,compliance with the multilateral environmental agreement,,,,(5) minamata convention,0.00
2020,percentage,compliance with the multilateral environmental agreement,,,,(5) minamata convention,33.33
2025,percentage,compliance with the multilateral environmental agreement,,,,(5) minamata convention,66.67
