Year,Units,type of waste,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,municipal waste,.,,,national recycling rate,
2011,percentage,municipal waste,.,,,national recycling rate,
2012,percentage,municipal waste,,,,national recycling rate,42.3
2013,percentage,municipal waste,,,,national recycling rate,43.2
2014,percentage,municipal waste,,,,national recycling rate,42.5
2015,percentage,municipal waste,,,,national recycling rate,38.8
2016,percentage,municipal waste,,,,national recycling rate,35.8
2017,percentage,municipal waste,,,,national recycling rate,34.8
2018,percentage,municipal waste,,,,national recycling rate,35.6
2019,percentage,municipal waste,,,,national recycling rate,30.4
2020,percentage,municipal waste,,,,national recycling rate,35.2
2021,percentage,municipal waste,|,,,national recycling rate,35.7
2022,percentage,municipal waste,,,,national recycling rate,41.3
2023,percentage,municipal waste,,,,national recycling rate,38.9
2024,percentage,municipal waste,|,,,national recycling rate,44.1
2010,"1,000 tonnes",municipal waste,.,,,material recovery,
2011,"1,000 tonnes",municipal waste,.,,,material recovery,
2012,"1,000 tonnes",municipal waste,,,,material recovery,59.3
2013,"1,000 tonnes",municipal waste,,,,material recovery,79.2
2014,"1,000 tonnes",municipal waste,,,,material recovery,78.4
2015,"1,000 tonnes",municipal waste,,,,material recovery,73.8
2016,"1,000 tonnes",municipal waste,,,,material recovery,66.3
2017,"1,000 tonnes",municipal waste,,,,material recovery,62.7
2018,"1,000 tonnes",municipal waste,,,,material recovery,63.8
2019,"1,000 tonnes",municipal waste,,,,material recovery,54.8
2020,"1,000 tonnes",municipal waste,,,,material recovery,63.2
2021,"1,000 tonnes",municipal waste,|,,,material recovery,64.3
2022,"1,000 tonnes",municipal waste,,,,material recovery,73.8
2023,"1,000 tonnes",municipal waste,,,,material recovery,68.0
2024,"1,000 tonnes",municipal waste,|,,,material recovery,77.1
2010,percentage,total waste,.,,,national recycling rate,
2011,percentage,total waste,.,,,national recycling rate,
2012,percentage,total waste,,,,national recycling rate,6.2
2013,percentage,total waste,,,,national recycling rate,9.1
2014,percentage,total waste,,,,national recycling rate,8.5
2015,percentage,total waste,,,,national recycling rate,5.7
2016,percentage,total waste,,,,national recycling rate,7.5
2017,percentage,total waste,,,,national recycling rate,9.0
2018,percentage,total waste,,,,national recycling rate,9.4
2019,percentage,total waste,,,,national recycling rate,7.6
2020,percentage,total waste,,,,national recycling rate,8.9
2021,percentage,total waste,|,,,national recycling rate,8.7
2022,percentage,total waste,,,,national recycling rate,10.8
2023,percentage,total waste,,,,national recycling rate,11.6
2024,percentage,total waste,|,,,national recycling rate,13.4
2010,"1,000 tonnes",total waste,.,,,material recovery,
2011,"1,000 tonnes",total waste,.,,,material recovery,
2012,"1,000 tonnes",total waste,,,,material recovery,31.1
2013,"1,000 tonnes",total waste,,,,material recovery,30.5
2014,"1,000 tonnes",total waste,,,,material recovery,33.3
2015,"1,000 tonnes",total waste,,,,material recovery,32.4
2016,"1,000 tonnes",total waste,,,,material recovery,29.7
2017,"1,000 tonnes",total waste,,,,material recovery,35.2
2018,"1,000 tonnes",total waste,,,,material recovery,33.4
2019,"1,000 tonnes",total waste,,,,material recovery,28.0
2020,"1,000 tonnes",total waste,,,,material recovery,38.3
2021,"1,000 tonnes",total waste,|,,,material recovery,35.9
2022,"1,000 tonnes",total waste,,,,material recovery,38.5
2023,"1,000 tonnes",total waste,,,,material recovery,38.2
2024,"1,000 tonnes",total waste,|,,,material recovery,42.9
