Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,total,.,,,
2011,million eur,total,.,,,
2012,million eur,total,.,,,
2013,million eur,total,.,,,
2014,million eur,total,.,,,
2015,million eur,total,,,,100
2016,million eur,total,.,,,
2017,million eur,total,.,,,
2018,million eur,total,.,,,
2019,million eur,total,.,,,
2020,million eur,total,,,,100
2021,million eur,total,…,,,
2022,million eur,total,…,,,
2010,million eur,tax breaks,.,,,
2011,million eur,tax breaks,.,,,
2012,million eur,tax breaks,.,,,
2013,million eur,tax breaks,.,,,
2014,million eur,tax breaks,.,,,
2015,million eur,tax breaks,.,,,
2016,million eur,tax breaks,.,,,
2017,million eur,tax breaks,.,,,
2018,million eur,tax breaks,.,,,
2019,million eur,tax breaks,.,,,
2020,million eur,tax breaks,,,,100
2021,million eur,tax breaks,…,,,
2022,million eur,tax breaks,…,,,
2010,million eur,direct transfers of funds,,,,244
2011,million eur,direct transfers of funds,.,,,
2012,million eur,direct transfers of funds,,,,273
2013,million eur,direct transfers of funds,.,,,
2014,million eur,direct transfers of funds,,,,269
2015,million eur,direct transfers of funds,.,,,
2016,million eur,direct transfers of funds,,,,280
2017,million eur,direct transfers of funds,.,,,
2018,million eur,direct transfers of funds,,,,292
2019,million eur,direct transfers of funds,.,,,
2020,million eur,direct transfers of funds,,,,282
2021,million eur,direct transfers of funds,.,,,
2022,million eur,direct transfers of funds,,,,272
2010,percent of gdp,total,,,,100
2011,percent of gdp,total,.,,,
2012,percent of gdp,total,,,,100
2013,percent of gdp,total,.,,,
2014,percent of gdp,total,,,,100
2015,percent of gdp,total,.,,,
2016,percent of gdp,total,,,,100
2017,percent of gdp,total,.,,,
2018,percent of gdp,total,,,,100
2019,percent of gdp,total,.,,,
2020,percent of gdp,total,,,,100
2021,percent of gdp,total,.,,,
2022,percent of gdp,total,,,,100
2010,percent of gdp,tax breaks,,,,13.6
2011,percent of gdp,tax breaks,.,,,
2012,percent of gdp,tax breaks,,,,15.0
2013,percent of gdp,tax breaks,.,,,
2014,percent of gdp,tax breaks,,,,13.6
2015,percent of gdp,tax breaks,.,,,
2016,percent of gdp,tax breaks,,,,13.7
2017,percent of gdp,tax breaks,.,,,
2018,percent of gdp,tax breaks,,,,14.0
2019,percent of gdp,tax breaks,.,,,
2020,percent of gdp,tax breaks,,,,14.3
2021,percent of gdp,tax breaks,.,,,
2022,percent of gdp,tax breaks,,,,13.9
2010,percent of gdp,direct transfers of funds,,,,5.9
2011,percent of gdp,direct transfers of funds,.,,,
2012,percent of gdp,direct transfers of funds,,,,5.4
2013,percent of gdp,direct transfers of funds,.,,,
2014,percent of gdp,direct transfers of funds,,,,6.2
2015,percent of gdp,direct transfers of funds,.,,,
2016,percent of gdp,direct transfers of funds,,,,4.9
2017,percent of gdp,direct transfers of funds,.,,,
2018,percent of gdp,direct transfers of funds,,,,4.2
2019,percent of gdp,direct transfers of funds,.,,,
2020,percent of gdp,direct transfers of funds,,,,4.9
2021,percent of gdp,direct transfers of funds,.,,,
2022,percent of gdp,direct transfers of funds,,,,4.4
