Year,Units,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,number of pieces of platic waste per 100 meters of beach length,,.,,,plastic waste on the beaches of the german north sea coast
2011,number of pieces of platic waste per 100 meters of beach length,,.,,,plastic waste on the beaches of the german north sea coast
2012,number of pieces of platic waste per 100 meters of beach length,,.,,,plastic waste on the beaches of the german north sea coast
2013,number of pieces of platic waste per 100 meters of beach length,113.00,,,,plastic waste on the beaches of the german north sea coast
2014,number of pieces of platic waste per 100 meters of beach length,112.20,,,,plastic waste on the beaches of the german north sea coast
2015,number of pieces of platic waste per 100 meters of beach length,83.25,,,,plastic waste on the beaches of the german north sea coast
2016,number of pieces of platic waste per 100 meters of beach length,60.50,,,,plastic waste on the beaches of the german north sea coast
2017,number of pieces of platic waste per 100 meters of beach length,63.00,,,,plastic waste on the beaches of the german north sea coast
2018,number of pieces of platic waste per 100 meters of beach length,62.00,,,,plastic waste on the beaches of the german north sea coast
2019,number of pieces of platic waste per 100 meters of beach length,57.00,,,,plastic waste on the beaches of the german north sea coast
2020,number of pieces of platic waste per 100 meters of beach length,55.50,,,,plastic waste on the beaches of the german north sea coast
2021,number of pieces of platic waste per 100 meters of beach length,43.50,,,,plastic waste on the beaches of the german north sea coast
2022,number of pieces of platic waste per 100 meters of beach length,57.50,,,,plastic waste on the beaches of the german north sea coast
2023,number of pieces of platic waste per 100 meters of beach length,45.50,,,,plastic waste on the beaches of the german north sea coast
2010,percentage,61.6,,,,plastic particles in fulmar stomachs
2011,percentage,61.4,,,,plastic particles in fulmar stomachs
2012,percentage,56.6,,,,plastic particles in fulmar stomachs
2013,percentage,56.4,,,,plastic particles in fulmar stomachs
2014,percentage,59.5,,,,plastic particles in fulmar stomachs
2015,percentage,59.0,,,,plastic particles in fulmar stomachs
2016,percentage,59.1,,,,plastic particles in fulmar stomachs
2017,percentage,58.9,,,,plastic particles in fulmar stomachs
2018,percentage,55.8,,,,plastic particles in fulmar stomachs
2019,percentage,51.2,,,,plastic particles in fulmar stomachs
2020,percentage,50.0,,,,plastic particles in fulmar stomachs
2021,percentage,48.5,,,,plastic particles in fulmar stomachs
