Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,r,,,79.3
2011,million eur,,,,77.5
2012,million eur,,,,76.2
2013,million eur,r,,,81.8
2014,million eur,r,,,76.6
2015,million eur,r,,,78.1
2016,million eur,r,,,80.0
2017,million eur,r,,,80.4
2018,million eur,r,,,77.1
2019,million eur,r,,,74.3
2020,million eur,r,,,68.9
2021,million eur,,,,72.1
2010,percentage,,,,98.4
2011,percentage,r,,,96.9
2012,percentage,,,,97.0
2013,percentage,,,,97.6
2014,percentage,r,,,93.4
2015,percentage,r,,,94.3
2016,percentage,r,,,96.0
2017,percentage,r,,,95.6
2018,percentage,r,,,94.3
2019,percentage,,,,95.3
2020,percentage,,,,91.2
2021,percentage,,,,90.9
