Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2011,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2012,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2013,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2014,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2015,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2016,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2017,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2018,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2019,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2020,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2021,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2022,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2023,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2024,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2025,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2026,"yes=1, no=0",,,,,,(1) contracting party to the pgrfa,1
2010,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2011,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2012,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2013,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2014,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2015,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,0
2016,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2017,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2018,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2019,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2020,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2021,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2022,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2023,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2024,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2025,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2026,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2010,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2011,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2012,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2013,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2014,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2015,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,0
2016,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2017,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2018,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2019,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2020,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2021,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2022,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2023,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2024,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2025,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2026,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the pgrfa,1
2010,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2011,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2012,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2013,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2014,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2015,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2016,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2017,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2018,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2019,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2020,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2021,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2022,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2023,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2024,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2025,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2026,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2010,cumulative number,smta received by germany,,,,,(5) number of smtas,1495
2011,cumulative number,smta received by germany,,,,,(5) number of smtas,2687
2012,cumulative number,smta received by germany,,,,,(5) number of smtas,3916
2013,cumulative number,smta received by germany,,,,,(5) number of smtas,5034
2014,cumulative number,smta received by germany,,,,,(5) number of smtas,6089
2015,cumulative number,smta received by germany,,,,,(5) number of smtas,7311
2016,cumulative number,smta received by germany,,,,,(5) number of smtas,8367
2017,cumulative number,smta received by germany,,,,,(5) number of smtas,8754
2018,cumulative number,smta received by germany,,,,,(5) number of smtas,9153
2019,cumulative number,smta received by germany,,,,,(5) number of smtas,9518
2020,cumulative number,smta received by germany,,,,,(5) number of smtas,9903
2021,cumulative number,smta received by germany,,,,,(5) number of smtas,10564
2022,cumulative number,smta received by germany,,,,,(5) number of smtas,11398
2023,cumulative number,smta received by germany,,,,,(5) number of smtas,13261
2024,cumulative number,smta received by germany,,,,,(5) number of smtas,15195
2025,cumulative number,smta received by germany,,,,,(5) number of smtas,16574
