Year,Units,measurement parameter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,440.9
2011,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,877.7
2012,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,755.3
2013,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,754.0
2014,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,926.2
2015,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1050.8
2016,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1004.9
2017,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1602.2
2018,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1350.6
2019,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1990.5
2020,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2084.9
2021,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2107.5
2022,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2850.2
2023,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2161.0
2024,million eur,commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2394.7
2010,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,318.6
2011,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,440.7
2012,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,601.6
2013,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,616.5
2014,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,702.4
2015,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,687.2
2016,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,935.1
2017,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1321.5
2018,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1216.5
2019,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1449.9
2020,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1787.8
2021,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,2107.5
2022,million eur,gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,2850.2
2010,million eur,,,,,environmental protection expenditure,52116
2011,million eur,,,,,environmental protection expenditure,54918
2012,million eur,,,,,environmental protection expenditure,57022
2013,million eur,,,,,environmental protection expenditure,58937
2014,million eur,,,,,environmental protection expenditure,63026
2015,million eur,,,,,environmental protection expenditure,64748
2016,million eur,,,,,environmental protection expenditure,67478
2017,million eur,,,,,environmental protection expenditure,70053
2018,million eur,,,,,environmental protection expenditure,74164
2019,million eur,,,,,environmental protection expenditure,77773
2020,million eur,,r,,,environmental protection expenditure,79084
2021,million eur,,,,,environmental protection expenditure,80334
2022,million eur,,r,,,environmental protection expenditure,82583
2023,million eur,,p,,,environmental protection expenditure,85310
2010,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,676.3
2011,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1330.0
2012,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1128.3
2013,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1104.3
