Year,Units,purpose,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,biodiversity,commitments,,,,440.9
2011,million eur,biodiversity,commitments,,,,877.7
2012,million eur,biodiversity,commitments,,,,755.3
2013,million eur,biodiversity,commitments,,,,754.0
2014,million eur,biodiversity,commitments,,,,926.2
2015,million eur,biodiversity,commitments,,,,1050.8
2016,million eur,biodiversity,commitments,,,,1004.9
2017,million eur,biodiversity,commitments,,,,1602.2
2018,million eur,biodiversity,commitments,,,,1350.6
2019,million eur,biodiversity,commitments,,,,1990.5
2020,million eur,biodiversity,commitments,,,,2084.9
2021,million eur,biodiversity,commitments,,,,2107.5
2022,million eur,biodiversity,commitments,,,,2850.2
2023,million eur,biodiversity,commitments,,,,2161.0
2024,million eur,biodiversity,commitments,,,,2394.7
2010,million eur,forestry sector,commitments,,,,65.575
2011,million eur,forestry sector,commitments,,,,118.745
2012,million eur,forestry sector,commitments,,,,83.549
2013,million eur,forestry sector,commitments,,,,51.584
2014,million eur,forestry sector,commitments,,,,107.353
2015,million eur,forestry sector,commitments,,,,83.089
2016,million eur,forestry sector,commitments,,,,52.681
2017,million eur,forestry sector,commitments,,,,109.101
2018,million eur,forestry sector,commitments,,,,61.652
2019,million eur,forestry sector,commitments,,,,390.944
2020,million eur,forestry sector,commitments,,,,222.724
2021,million eur,forestry sector,commitments,,,,159.939
2022,million eur,forestry sector,commitments,,,,212.589
2023,million eur,forestry sector,commitments,,,,239.394
2024,million eur,forestry sector,commitments,,,,184.423
2010,million eur,biodiversity,gross disbursements,,,,318.6
2011,million eur,biodiversity,gross disbursements,,,,440.7
2012,million eur,biodiversity,gross disbursements,,,,601.6
2013,million eur,biodiversity,gross disbursements,,,,616.5
2014,million eur,biodiversity,gross disbursements,,,,702.4
2015,million eur,biodiversity,gross disbursements,,,,687.2
2016,million eur,biodiversity,gross disbursements,,,,935.1
2017,million eur,biodiversity,gross disbursements,,,,1321.5
2018,million eur,biodiversity,gross disbursements,,,,1216.5
2019,million eur,biodiversity,gross disbursements,,,,1449.9
2020,million eur,biodiversity,gross disbursements,,,,1787.8
2021,million eur,biodiversity,gross disbursements,,,,2107.5
2022,million eur,biodiversity,gross disbursements,,,,2850.2
2023,million eur,biodiversity,gross disbursements,,,,
2024,million eur,biodiversity,gross disbursements,,,,
2010,million eur,forestry sector,gross disbursements,,,,48.6
2011,million eur,forestry sector,gross disbursements,,,,46.0
2012,million eur,forestry sector,gross disbursements,,,,77.0
2013,million eur,forestry sector,gross disbursements,,,,71.9
2014,million eur,forestry sector,gross disbursements,,,,61.3
2015,million eur,forestry sector,gross disbursements,,,,62.5
2016,million eur,forestry sector,gross disbursements,,,,60.1
2017,million eur,forestry sector,gross disbursements,,,,69.0
2018,million eur,forestry sector,gross disbursements,,,,104.9
2019,million eur,forestry sector,gross disbursements,,,,107.7
2020,million eur,forestry sector,gross disbursements,,,,195.4
2021,million eur,forestry sector,gross disbursements,,,,241.3
2022,million eur,forestry sector,gross disbursements,,,,238.6
2023,million eur,forestry sector,gross disbursements,,,,251.1
2024,million eur,forestry sector,gross disbursements,,,,210.5
2010,"million usd, constant prices (2024)",biodiversity,commitments,,,,676.3
2011,"million usd, constant prices (2024)",biodiversity,commitments,,,,1330.0
2012,"million usd, constant prices (2024)",biodiversity,commitments,,,,1128.3
2013,"million usd, constant prices (2024)",biodiversity,commitments,,,,1104.3
2014,"million usd, constant prices (2024)",biodiversity,commitments,,,,1331.3
2015,"million usd, constant prices (2024)",biodiversity,commitments,,,,1484.6
2016,"million usd, constant prices (2024)",biodiversity,commitments,,,,1402.0
2017,"million usd, constant prices (2024)",biodiversity,commitments,,,,2203.0
2018,"million usd, constant prices (2024)",biodiversity,commitments,,,,1823.0
2019,"million usd, constant prices (2024)",biodiversity,commitments,,,,2633.6
2020,"million usd, constant prices (2024)",biodiversity,commitments,,,,2711.0
2021,"million usd, constant prices (2024)",biodiversity,commitments,,,,2668.6
2022,"million usd, constant prices (2024)",biodiversity,commitments,,,,3391.2
2023,"million usd, constant prices (2024)",biodiversity,commitments,,,,2409.8
2024,"million usd, constant prices (2024)",biodiversity,commitments,,,,2590.0
2010,"million usd, constant prices (2024)",forestry sector,commitments,,,,100.596
2011,"million usd, constant prices (2024)",forestry sector,commitments,,,,179.946
2012,"million usd, constant prices (2024)",forestry sector,commitments,,,,124.820
2013,"million usd, constant prices (2024)",forestry sector,commitments,,,,75.557
2014,"million usd, constant prices (2024)",forestry sector,commitments,,,,154.315
2015,"million usd, constant prices (2024)",forestry sector,commitments,,,,117.391
2016,"million usd, constant prices (2024)",forestry sector,commitments,,,,73.502
2017,"million usd, constant prices (2024)",forestry sector,commitments,,,,150.013
2018,"million usd, constant prices (2024)",forestry sector,commitments,,,,83.214
2019,"million usd, constant prices (2024)",forestry sector,commitments,,,,517.253
2020,"million usd, constant prices (2024)",forestry sector,commitments,,,,289.608
2021,"million usd, constant prices (2024)",forestry sector,commitments,,,,202.519
2022,"million usd, constant prices (2024)",forestry sector,commitments,,,,252.944
2023,"million usd, constant prices (2024)",forestry sector,commitments,,,,266.963
2024,"million usd, constant prices (2024)",forestry sector,commitments,,,,199.463
2010,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,488.8
2011,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,667.8
2012,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,898.8
2013,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,902.9
2014,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,1009.7
2015,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,970.9
2016,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,1304.6
2017,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,1817.1
