Year,Units,age group,sex,typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,,,,,,,793
2011,number,,,,,,,738
2012,number,,,,,,,659
2013,number,,,,,,,682
2014,number,,,,,,,716
2015,number,,,,,,,682
2016,number,,,,,,,963
2017,number,,,,,,,813
2018,number,,,,,,,788
2019,number,,,,,,,623
2020,number,,,,,,,782
2021,number,,,,,,,695
2022,number,,,,,,,686
2023,number,,,,,,,770
2024,number,,,,,,,779
2025,number,,,,,,,1112
2010,number,13 years and younger,,,,,,77
2011,number,13 years and younger,,,,,,73
2012,number,13 years and younger,,,,,,90
2013,number,13 years and younger,,,,,,66
2014,number,13 years and younger,,,,,,63
2015,number,13 years and younger,,,,,,62
2016,number,13 years and younger,,,,,,68
2017,number,13 years and younger,,,,,,67
2018,number,13 years and younger,,,,,,70
2019,number,13 years and younger,,,,,,46
2020,number,13 years and younger,,,,,,79
2021,number,13 years and younger,,,,,,83
2022,number,13 years and younger,,,,,,51
2023,number,13 years and younger,,,,,,72
2024,number,13 years and younger,,,,,,56
2025,number,13 years and younger,,,,,,92
2010,number,14 to under 18 years,,,,,,22
2011,number,14 to under 18 years,,,,,,27
2012,number,14 to under 18 years,,,,,,6
2013,number,14 to under 18 years,,,,,,12
2014,number,14 to under 18 years,,,,,,15
2015,number,14 to under 18 years,,,,,,14
2016,number,14 to under 18 years,,,,,,35
2017,number,14 to under 18 years,,,,,,4
2018,number,14 to under 18 years,,,,,,14
2019,number,14 to under 18 years,,,,,,11
2020,number,14 to under 18 years,,,,,,12
2021,number,14 to under 18 years,,,,,,14
2022,number,14 to under 18 years,,,,,,14
2023,number,14 to under 18 years,,,,,,17
2024,number,14 to under 18 years,,,,,,15
2025,number,14 to under 18 years,,,,,,36
2010,number,18 to under 21 years,,,,,,38
2011,number,18 to under 21 years,,,,,,29
2012,number,18 to under 21 years,,,,,,23
2013,number,18 to under 21 years,,,,,,15
2014,number,18 to under 21 years,,,,,,20
2015,number,18 to under 21 years,,,,,,18
2016,number,18 to under 21 years,,,,,,43
2017,number,18 to under 21 years,,,,,,16
2018,number,18 to under 21 years,,,,,,26
2019,number,18 to under 21 years,,,,,,16
2020,number,18 to under 21 years,,,,,,21
2021,number,18 to under 21 years,,,,,,19
2022,number,18 to under 21 years,,,,,,23
2023,number,18 to under 21 years,,,,,,18
2024,number,18 to under 21 years,,,,,,27
2025,number,18 to under 21 years,,,,,,34
2010,number,21 to under 60 years,,,,,,448
2011,number,21 to under 60 years,,,,,,424
2012,number,21 to under 60 years,,,,,,359
2013,number,21 to under 60 years,,,,,,377
2014,number,21 to under 60 years,,,,,,405
2015,number,21 to under 60 years,,,,,,343
2016,number,21 to under 60 years,,,,,,527
2017,number,21 to under 60 years,,,,,,414
2018,number,21 to under 60 years,,,,,,445
2019,number,21 to under 60 years,,,,,,349
2020,number,21 to under 60 years,,,,,,378
2021,number,21 to under 60 years,,,,,,336
2022,number,21 to under 60 years,,,,,,334
2023,number,21 to under 60 years,,,,,,430
2024,number,21 to under 60 years,,,,,,412
2025,number,21 to under 60 years,,,,,,579
2010,number,60 years and older,,,,,,208
2011,number,60 years and older,,,,,,185
2012,number,60 years and older,,,,,,181
2013,number,60 years and older,,,,,,212
2014,number,60 years and older,,,,,,213
2015,number,60 years and older,,,,,,245
2016,number,60 years and older,,,,,,290
2017,number,60 years and older,,,,,,312
2018,number,60 years and older,,,,,,233
2019,number,60 years and older,,,,,,201
2020,number,60 years and older,,,,,,292
2021,number,60 years and older,,,,,,243
2022,number,60 years and older,,,,,,264
2023,number,60 years and older,,,,,,233
2024,number,60 years and older,,,,,,269
2025,number,60 years and older,,,,,,371
2010,number,,female,,,,,393
2011,number,,female,,,,,338
2012,number,,female,,,,,296
2013,number,,female,,,,,328
2014,number,,female,,,,,339
2015,number,,female,,,,,327
2016,number,,female,,,,,469
2017,number,,female,,,,,380
2018,number,,female,,,,,367
2019,number,,female,,,,,276
2020,number,,female,,,,,357
2021,number,,female,,,,,337
2022,number,,female,,,,,349
2023,number,,female,,,,,374
2024,number,,female,,,,,338
2025,number,,female,,,,,552
2010,number,,male,,,,,400
2011,number,,male,,,,,400
2012,number,,male,,,,,363
2013,number,,male,,,,,354
2014,number,,male,,,,,377
