Year,sex,form of abuse,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2019,female,,,.,,
2020,female,,0.6,,,
2021,female,,,…,,
2019,male,,,.,,
2020,male,,71,,,
2021,male,,,…,,
2019,,physical abuse,,.,,
2020,,physical abuse,25.4,,,
2021,,physical abuse,,…,,
2019,female,physical abuse,,.,,
2020,female,physical abuse,3.4,,,
2021,female,physical abuse,,…,,
2019,male,physical abuse,,.,,
2020,male,physical abuse,0.2,,,
2021,male,physical abuse,,…,,
2019,,psychological abuse,,.,,
2020,,psychological abuse,70.7,,,
2021,,psychological abuse,,…,,
2019,female,psychological abuse,,.,,
2020,female,psychological abuse,27.6,,,
2021,female,psychological abuse,,…,,
2019,male,psychological abuse,,.,,
2020,male,psychological abuse,1.6,,,
2021,male,psychological abuse,,…,,
