Year,timeseries,sex,age group,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,reporting rate for physical assault,,,,.,,
2011,reporting rate for physical assault,,,,.,,
2012,reporting rate for physical assault,,,0.08,,,
2013,reporting rate for physical assault,,,0.08,,,
2014,reporting rate for physical assault,,,0.08,,,
2015,reporting rate for physical assault,,,0.09,,,
2016,reporting rate for physical assault,,,0.10,,,
2017,reporting rate for physical assault,,,0.10,,,
2018,reporting rate for physical assault,,,0.12,,,
2019,reporting rate for physical assault,,,0.14,,,
2020,reporting rate for physical assault,,,0.15,,,
2021,reporting rate for physical assault,,,0.16,,,
2022,reporting rate for physical assault,,,0.17,,,
2023,reporting rate for physical assault,,,0.17,,,
2010,reporting rate for physical assault,female,,,.,,
2011,reporting rate for physical assault,female,,,.,,
2012,reporting rate for physical assault,female,,0.07,,,
2013,reporting rate for physical assault,female,,0.07,,,
2014,reporting rate for physical assault,female,,0.07,,,
2015,reporting rate for physical assault,female,,0.08,,,
2016,reporting rate for physical assault,female,,0.09,,,
2017,reporting rate for physical assault,female,,0.09,,,
2018,reporting rate for physical assault,female,,0.11,,,
2019,reporting rate for physical assault,female,,0.13,,,
2020,reporting rate for physical assault,female,,0.13,,,
2021,reporting rate for physical assault,female,,0.13,,,
2022,reporting rate for physical assault,female,,0.15,,,
2023,reporting rate for physical assault,female,,0.16,,,
2010,reporting rate for physical assault,male,,,.,,
2011,reporting rate for physical assault,male,,,.,,
2012,reporting rate for physical assault,male,,0.04,,,
2013,reporting rate for physical assault,male,,0.04,,,
2014,reporting rate for physical assault,male,,0.04,,,
2015,reporting rate for physical assault,male,,0.04,,,
2016,reporting rate for physical assault,male,,0.05,,,
2017,reporting rate for physical assault,male,,0.05,,,
2018,reporting rate for physical assault,male,,0.06,,,
2019,reporting rate for physical assault,male,,0.07,,,
2020,reporting rate for physical assault,male,,0.07,,,
2021,reporting rate for physical assault,male,,0.07,,,
2022,reporting rate for physical assault,male,,0.08,,,
2023,reporting rate for physical assault,male,,0.08,,,
2010,reporting rate for physical assault,,16 to under 25 years,,.,,
2011,reporting rate for physical assault,,16 to under 25 years,,.,,
2012,reporting rate for physical assault,,16 to under 25 years,0.04,,,
2013,reporting rate for physical assault,,16 to under 25 years,0.04,,,
2014,reporting rate for physical assault,,16 to under 25 years,0.04,,,
2015,reporting rate for physical assault,,16 to under 25 years,0.04,,,
2016,reporting rate for physical assault,,16 to under 25 years,0.05,,,
2017,reporting rate for physical assault,,16 to under 25 years,0.05,,,
2018,reporting rate for physical assault,,16 to under 25 years,0.06,,,
2019,reporting rate for physical assault,,16 to under 25 years,0.07,,,
2020,reporting rate for physical assault,,16 to under 25 years,0.07,,,
2021,reporting rate for physical assault,,16 to under 25 years,0.07,,,
2022,reporting rate for physical assault,,16 to under 25 years,0.08,,,
2023,reporting rate for physical assault,,16 to under 25 years,0.08,,,
2010,reporting rate for physical assault,,25 to under 35 years,,.,,
2011,reporting rate for physical assault,,25 to under 35 years,,.,,
2012,reporting rate for physical assault,,25 to under 35 years,0.03,,,
2013,reporting rate for physical assault,,25 to under 35 years,0.03,,,
2014,reporting rate for physical assault,,25 to under 35 years,0.04,,,
2015,reporting rate for physical assault,,25 to under 35 years,0.04,,,
2016,reporting rate for physical assault,,25 to under 35 years,0.04,,,
2017,reporting rate for physical assault,,25 to under 35 years,0.05,,,
2018,reporting rate for physical assault,,25 to under 35 years,0.05,,,
2019,reporting rate for physical assault,,25 to under 35 years,0.06,,,
2020,reporting rate for physical assault,,25 to under 35 years,0.06,,,
2021,reporting rate for physical assault,,25 to under 35 years,0.06,,,
2022,reporting rate for physical assault,,25 to under 35 years,0.07,,,
2023,reporting rate for physical assault,,25 to under 35 years,0.07,,,
2010,reporting rate for physical assault,,35 to under 45 years,,.,,
2011,reporting rate for physical assault,,35 to under 45 years,,.,,
2012,reporting rate for physical assault,,35 to under 45 years,0.03,,,
2013,reporting rate for physical assault,,35 to under 45 years,0.03,,,
2014,reporting rate for physical assault,,35 to under 45 years,0.04,,,
2015,reporting rate for physical assault,,35 to under 45 years,0.04,,,
2016,reporting rate for physical assault,,35 to under 45 years,0.05,,,
2017,reporting rate for physical assault,,35 to under 45 years,0.05,,,
2018,reporting rate for physical assault,,35 to under 45 years,0.06,,,
2019,reporting rate for physical assault,,35 to under 45 years,0.07,,,
2020,reporting rate for physical assault,,35 to under 45 years,0.07,,,
2021,reporting rate for physical assault,,35 to under 45 years,0.08,,,
2022,reporting rate for physical assault,,35 to under 45 years,0.09,,,
2023,reporting rate for physical assault,,35 to under 45 years,0.09,,,
2010,reporting rate for physical assault,,45 to under 55 years,,.,,
2011,reporting rate for physical assault,,45 to under 55 years,,.,,
2012,reporting rate for physical assault,,45 to under 55 years,0.04,,,
2013,reporting rate for physical assault,,45 to under 55 years,0.04,,,
2014,reporting rate for physical assault,,45 to under 55 years,0.04,,,
2015,reporting rate for physical assault,,45 to under 55 years,0.05,,,
2016,reporting rate for physical assault,,45 to under 55 years,0.05,,,
2017,reporting rate for physical assault,,45 to under 55 years,0.05,,,
2018,reporting rate for physical assault,,45 to under 55 years,0.06,,,
2019,reporting rate for physical assault,,45 to under 55 years,0.07,,,
2020,reporting rate for physical assault,,45 to under 55 years,0.08,,,
2021,reporting rate for physical assault,,45 to under 55 years,0.09,,,
2022,reporting rate for physical assault,,45 to under 55 years,0.09,,,
2023,reporting rate for physical assault,,45 to under 55 years,0.09,,,
2010,reporting rate for physical assault,,55 to under 65 years,,.,,
2011,reporting rate for physical assault,,55 to under 65 years,,.,,
2012,reporting rate for physical assault,,55 to under 65 years,0.03,,,
2013,reporting rate for physical assault,,55 to under 65 years,0.03,,,
2014,reporting rate for physical assault,,55 to under 65 years,0.04,,,
2015,reporting rate for physical assault,,55 to under 65 years,0.04,,,
2016,reporting rate for physical assault,,55 to under 65 years,0.04,,,
2017,reporting rate for physical assault,,55 to under 65 years,0.05,,,
2018,reporting rate for physical assault,,55 to under 65 years,0.06,,,
2019,reporting rate for physical assault,,55 to under 65 years,0.06,,,
2020,reporting rate for physical assault,,55 to under 65 years,0.07,,,
2021,reporting rate for physical assault,,55 to under 65 years,0.07,,,
2022,reporting rate for physical assault,,55 to under 65 years,0.08,,,
2023,reporting rate for physical assault,,55 to under 65 years,0.09,,,
2010,reporting rate for physical assault,,65 to under 75 years,0.81,,,
2011,reporting rate for physical assault,,65 to under 75 years,0.84,,,
2012,reporting rate for physical assault,,65 to under 75 years,0.78,,,
2013,reporting rate for physical assault,,65 to under 75 years,0.75,,,
2014,reporting rate for physical assault,,65 to under 75 years,0.72,,,
2015,reporting rate for physical assault,,65 to under 75 years,0.58,,,
2016,reporting rate for physical assault,,65 to under 75 years,0.65,,,
2017,reporting rate for physical assault,,65 to under 75 years,0.81,,,
2018,reporting rate for physical assault,,65 to under 75 years,0.59,,,
