Year,time series,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,national taxes,22.7,,,
2011,national taxes,22.4,,,
2012,national taxes,22.9,,,
2013,national taxes,23.3,,,
2014,national taxes,23.7,,,
2015,national taxes,24.2,,,
2016,national taxes,24.8,,,
2017,national taxes,25.6,,,
2018,national taxes,26.5,,,
2019,national taxes,27.4,,,
2020,national taxes,28.4,,,
2021,national taxes,29.4,,,
2022,national taxes,30.2,r,,
2023,national taxes,31.2,,,
2010,national taxes and insurance contributions,60.6,,,
2011,national taxes and insurance contributions,61.0,,,
2012,national taxes and insurance contributions,61.4,,,
2013,national taxes and insurance contributions,61.7,,,
2014,national taxes and insurance contributions,61.9,,,
2015,national taxes and insurance contributions,62.2,,,
2016,national taxes and insurance contributions,62.5,,,
2017,national taxes and insurance contributions,62.7,,,
2018,national taxes and insurance contributions,62.8,,,
2019,national taxes and insurance contributions,63.0,,,
2020,national taxes and insurance contributions,63.1,,,
2021,national taxes and insurance contributions,63.2,,,
2022,national taxes and insurance contributions,63.1,,,
2023,national taxes and insurance contributions,63.3,,,
