Year,completeness of disaggregation,goal,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2023,fully disaggregated,,,.,,
2024,fully disaggregated,,23,,,
2025,fully disaggregated,,,,,
2023,partially disaggregated,,,.,,
2024,partially disaggregated,,23,,,
2025,partially disaggregated,,,,,
2023,not disaggregated,,,.,,
2024,not disaggregated,,54,,,
2025,not disaggregated,,,,,
2023,fully disaggregated,1 - no poverty,,.,,
2024,fully disaggregated,1 - no poverty,0,-,,
2025,fully disaggregated,1 - no poverty,,,,
2023,partially disaggregated,1 - no poverty,,.,,
2024,partially disaggregated,1 - no poverty,25,,,
2025,partially disaggregated,1 - no poverty,,,,
2023,not disaggregated,1 - no poverty,,.,,
2024,not disaggregated,1 - no poverty,75,,,
2025,not disaggregated,1 - no poverty,,,,
2023,fully disaggregated,2 - zero hunger,,.,,
2024,fully disaggregated,2 - zero hunger,25,,,
2025,fully disaggregated,2 - zero hunger,,,,
2023,partially disaggregated,2 - zero hunger,,.,,
2024,partially disaggregated,2 - zero hunger,0,-,,
2025,partially disaggregated,2 - zero hunger,,,,
2023,not disaggregated,2 - zero hunger,,.,,
2024,not disaggregated,2 - zero hunger,75,,,
2025,not disaggregated,2 - zero hunger,,,,
2023,fully disaggregated,3 - good health and well-being,,.,,
2024,fully disaggregated,3 - good health and well-being,0,-,,
2025,fully disaggregated,3 - good health and well-being,,,,
2023,partially disaggregated,3 - good health and well-being,,.,,
2024,partially disaggregated,3 - good health and well-being,100,,,
2025,partially disaggregated,3 - good health and well-being,,,,
2023,not disaggregated,3 - good health and well-being,,.,,
2024,not disaggregated,3 - good health and well-being,0,-,,
2025,not disaggregated,3 - good health and well-being,,,,
2023,fully disaggregated,4 - quality education,,.,,
2024,fully disaggregated,4 - quality education,33,,,
2025,fully disaggregated,4 - quality education,,,,
2023,partially disaggregated,4 - quality education,,.,,
2024,partially disaggregated,4 - quality education,0,-,,
2025,partially disaggregated,4 - quality education,,,,
2023,not disaggregated,4 - quality education,,.,,
2024,not disaggregated,4 - quality education,67,,,
2025,not disaggregated,4 - quality education,,,,
2023,fully disaggregated,5 - gender equality,,.,,
2024,fully disaggregated,5 - gender equality,0,-,,
2025,fully disaggregated,5 - gender equality,,,,
2023,partially disaggregated,5 - gender equality,,.,,
2024,partially disaggregated,5 - gender equality,17,,,
2025,partially disaggregated,5 - gender equality,,,,
2023,not disaggregated,5 - gender equality,,.,,
2024,not disaggregated,5 - gender equality,83,,,
2025,not disaggregated,5 - gender equality,,,,
2023,fully disaggregated,8 - decent work and economic growth,,.,,
2024,fully disaggregated,8 - decent work and economic growth,17,,,
2025,fully disaggregated,8 - decent work and economic growth,,,,
2023,partially disaggregated,8 - decent work and economic growth,,.,,
2024,partially disaggregated,8 - decent work and economic growth,50,,,
