Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,million eur,commitments (oda and oof),.,,,
2024,million eur,commitments (oda and oof),-,,,0
2025,million eur,commitments (oda and oof),,,,
2023,million eur,gross disbursements (oda and oof),.,,,
2024,million eur,gross disbursements (oda and oof),,,,33
2025,million eur,gross disbursements (oda and oof),,,,
2023,"million usd, constant prices (2023)",commitments (oda and oof),.,,,
2024,"million usd, constant prices (2023)",commitments (oda and oof),-,,,0
2025,"million usd, constant prices (2023)",commitments (oda and oof),,,,
2023,"million usd, constant prices (2023)",gross disbursements (oda and oof),.,,,
2024,"million usd, constant prices (2023)",gross disbursements (oda and oof),,,,67
2025,"million usd, constant prices (2023)",gross disbursements (oda and oof),,,,
