Year,Units,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,number,23.0,,,
2011,number,23.0,,,
2012,number,25.5,,,
2013,number,24.3,,,
2014,number,27.2,,,
2015,number,27.2,,,
2016,number,31.7,,,
2017,number,31.7,,,
2018,number,34.6,,,
2019,number,34.6,,,
2020,number,39.0,,,
2021,number,39.0,,,
2022,number,39.4,,,
2023,number,39.4,,,
2010,eur,29.3,,,
2011,eur,30.5,,,
2012,eur,31.1,,,
2013,eur,31.7,,,
2014,eur,32.5,,,
2015,eur,34.1,,,
2016,eur,35.3,,,
2017,eur,36.6,,,
2018,eur,37.1,,,
2019,eur,37.8,,,
2020,eur,39.0,,,
2021,eur,40.2,,,
2022,eur,41.1,,,
2023,eur,42.4,,,
