Year,Units,Value
2010,"mn usd, constant prices (2020)",272.6
2011,"mn usd, constant prices (2020)",329.7
2012,"mn usd, constant prices (2020)",286.0
2013,"mn usd, constant prices (2020)",401.4
2014,"mn usd, constant prices (2020)",338.8
2015,"mn usd, constant prices (2020)",601.1
2016,"mn usd, constant prices (2020)",634.5
2017,"mn usd, constant prices (2020)",686.4
2018,"mn usd, constant prices (2020)",570.0
2019,"mn usd, constant prices (2020)",621.1
2020,"mn usd, constant prices (2020)",909.9
2010,mn eur,202.7
2011,mn eur,247.8
2012,mn eur,218.1
2013,mn eur,312.2
2014,mn eur,268.4
2015,mn eur,485.1
2016,mn eur,518.8
2017,mn eur,569.7
2018,mn eur,482.4
2019,mn eur,536.5
2020,mn eur,798.4
