Year,type of disease,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,(a) diseases of the circulatory system,,,,,45.0
2011,(a) diseases of the circulatory system,,,,,41.8
2012,(a) diseases of the circulatory system,,,,,41.3
2013,(a) diseases of the circulatory system,,,,,41.4
2014,(a) diseases of the circulatory system,,,,,40.0
2015,(a) diseases of the circulatory system,,,,,42.3
2016,(a) diseases of the circulatory system,,,,,41.6
2017,(a) diseases of the circulatory system,,,,,40.9
2018,(a) diseases of the circulatory system,,,,,41.8
2019,(a) diseases of the circulatory system,,,,,39.8
2020,(a) diseases of the circulatory system,,,,,40.7
2021,(a) diseases of the circulatory system,,,,,41.9
2022,(a) diseases of the circulatory system,,,,,42.2
2023,(a) diseases of the circulatory system,,,,,42.1
2024,(a) diseases of the circulatory system,,,,,41.0
2010,(b) malignant neoplasms,,,,,77.9
2011,(b) malignant neoplasms,,,,,76.9
2012,(b) malignant neoplasms,,,,,75.0
2013,(b) malignant neoplasms,,,,,75.0
2014,(b) malignant neoplasms,,,,,73.2
2015,(b) malignant neoplasms,,,,,74.7
2016,(b) malignant neoplasms,,,,,76.4
2017,(b) malignant neoplasms,,,,,75.4
2018,(b) malignant neoplasms,,,,,76.1
2019,(b) malignant neoplasms,,,,,74.7
2020,(b) malignant neoplasms,,,,,74.2
2021,(b) malignant neoplasms,,,,,72.9
2022,(b) malignant neoplasms,,,,,73.3
2023,(b) malignant neoplasms,,,,,72.4
2024,(b) malignant neoplasms,,,,,71.6
2010,(c) diabetes mellitus,,,,,3.5
2011,(c) diabetes mellitus,,,,,3.4
2012,(c) diabetes mellitus,,,,,3.4
2013,(c) diabetes mellitus,,,,,3.5
2014,(c) diabetes mellitus,,,,,3.3
2015,(c) diabetes mellitus,,,,,3.6
2016,(c) diabetes mellitus,,,,,3.5
2017,(c) diabetes mellitus,,,,,3.8
2018,(c) diabetes mellitus,,,,,3.8
2019,(c) diabetes mellitus,,,,,3.7
2020,(c) diabetes mellitus,,,,,3.8
2021,(c) diabetes mellitus,,,,,3.9
2022,(c) diabetes mellitus,,,,,3.9
2023,(c) diabetes mellitus,,,,,3.9
2024,(c) diabetes mellitus,,,,,4.0
2010,(d) chronic respiratory disease,,,,,7.4
2011,(d) chronic respiratory disease,,,,,7.5
2012,(d) chronic respiratory disease,,,,,7.1
2013,(d) chronic respiratory disease,,,,,8.0
2014,(d) chronic respiratory disease,,,,,7.6
2015,(d) chronic respiratory disease,,,,,8.7
2016,(d) chronic respiratory disease,,,,,8.8
2017,(d) chronic respiratory disease,,,,,9.4
2018,(d) chronic respiratory disease,,,,,9.7
