Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,4.70
2011,"per 100,000 inhabitants",,,,,,5.23
2012,"per 100,000 inhabitants",,,,,,4.79
2013,"per 100,000 inhabitants",,,,,,4.32
2014,"per 100,000 inhabitants",,,,,,4.24
2015,"per 100,000 inhabitants",,,,,,4.15
2016,"per 100,000 inhabitants",,,,,,3.78
2017,"per 100,000 inhabitants",,,,,,3.58
2018,"per 100,000 inhabitants",,,,,,3.71
2019,"per 100,000 inhabitants",,,,,,3.37
2020,"per 100,000 inhabitants",,,,,,3.03
2021,"per 100,000 inhabitants",,,,,,2.80
2022,"per 100,000 inhabitants",,,,,,3.08
2023,"per 100,000 inhabitants",,,,,,3.04
2024,"per 100,000 inhabitants",,,,,,3.24
2010,"per 100,000 inhabitants",14 years and younger,,,,,0.93
2011,"per 100,000 inhabitants",14 years and younger,,,,,0.83
2012,"per 100,000 inhabitants",14 years and younger,,,,,0.70
2013,"per 100,000 inhabitants",14 years and younger,,,,,0.51
2014,"per 100,000 inhabitants",14 years and younger,,,,,0.70
2015,"per 100,000 inhabitants",14 years and younger,,,,,0.58
2016,"per 100,000 inhabitants",14 years and younger,,,,,0.60
2017,"per 100,000 inhabitants",14 years and younger,,,,,0.43
2018,"per 100,000 inhabitants",14 years and younger,,,,,0.53
2019,"per 100,000 inhabitants",14 years and younger,,,,,0.39
2020,"per 100,000 inhabitants",14 years and younger,,,,,0.32
2021,"per 100,000 inhabitants",14 years and younger,,,,,0.31
2022,"per 100,000 inhabitants",14 years and younger,,,,,0.36
2023,"per 100,000 inhabitants",14 years and younger,,,,,0.21
2024,"per 100,000 inhabitants",14 years and younger,,,,,0.45
2010,"per 100,000 inhabitants",15 to under 25 years,,,,,8.66
2011,"per 100,000 inhabitants",15 to under 25 years,,,,,9.59
2012,"per 100,000 inhabitants",15 to under 25 years,,,,,8.56
2013,"per 100,000 inhabitants",15 to under 25 years,,,,,6.69
2014,"per 100,000 inhabitants",15 to under 25 years,,,,,6.82
2015,"per 100,000 inhabitants",15 to under 25 years,,,,,5.99
2016,"per 100,000 inhabitants",15 to under 25 years,,,,,5.39
2017,"per 100,000 inhabitants",15 to under 25 years,,,,,4.84
2018,"per 100,000 inhabitants",15 to under 25 years,,,,,4.74
2019,"per 100,000 inhabitants",15 to under 25 years,,,,,4.47
2020,"per 100,000 inhabitants",15 to under 25 years,,,,,4.18
2021,"per 100,000 inhabitants",15 to under 25 years,,,,,3.64
2022,"per 100,000 inhabitants",15 to under 25 years,,,,,3.51
2023,"per 100,000 inhabitants",15 to under 25 years,,,,,3.39
2024,"per 100,000 inhabitants",15 to under 25 years,,,,,4.01
2010,"per 100,000 inhabitants",25 to under 35 years,,,,,5.23
2011,"per 100,000 inhabitants",25 to under 35 years,,,,,5.69
2012,"per 100,000 inhabitants",25 to under 35 years,,,,,4.96
2013,"per 100,000 inhabitants",25 to under 35 years,,,,,4.40
2014,"per 100,000 inhabitants",25 to under 35 years,,,,,4.21
