Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,37785
2011,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,35302
2012,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,28098
2013,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,30869
2014,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,28954
2015,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,27045
2016,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,25262
2017,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,24603
2018,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,25444
2019,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,18497
2020,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,16561
2021,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,18186
2022,attributable deaths,,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,16531
2023,attributable deaths,,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,11746
2010,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3677
2011,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3511
2012,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2726
2013,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3235
2014,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2979
2015,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2964
2016,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2730
2017,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2828
2018,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2917
2019,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2157
2020,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1762
2021,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1915
2022,attributable deaths,chronic obstructive pulmonary disease (copd),,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1888
2023,attributable deaths,chronic obstructive pulmonary disease (copd),,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1414
2010,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,5722
2011,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,5571
2012,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4347
2013,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4799
2014,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4738
2015,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4183
2016,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4086
2017,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3816
2018,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3954
2019,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2558
2020,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2248
2021,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2504
2022,attributable deaths,lung cancer,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2209
2023,attributable deaths,lung cancer,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1587
2010,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3971
2011,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3743
2012,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2953
2013,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3224
2014,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3091
2015,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2820
2016,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2766
2017,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2578
2018,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2695
2019,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2045
2020,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1791
2021,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1840
