Year,activities,age,Value
2010,copied or moved a file and folder,,
2011,copied or moved a file and folder,,72
2012,copied or moved a file and folder,,68
2013,copied or moved a file and folder,,
2014,copied or moved a file and folder,,76
2015,copied or moved a file and folder,,68
2016,copied or moved a file and folder,,68
2017,copied or moved a file and folder,,69
2018,copied or moved a file and folder,,
2019,copied or moved a file and folder,,71
2010,using copy or cut and paste tools to duplicate or move information on screen,,
2011,using copy or cut and paste tools to duplicate or move information on screen,,70
2012,using copy or cut and paste tools to duplicate or move information on screen,,66
2013,using copy or cut and paste tools to duplicate or move information on screen,,
2014,using copy or cut and paste tools to duplicate or move information on screen,,74
2015,using copy or cut and paste tools to duplicate or move information on screen,,
2016,using copy or cut and paste tools to duplicate or move information on screen,,
2017,using copy or cut and paste tools to duplicate or move information on screen,,
2018,using copy or cut and paste tools to duplicate or move information on screen,,
2019,using copy or cut and paste tools to duplicate or move information on screen,,
2010,written code in a programming language,,
2011,written code in a programming language,,
2012,written code in a programming language,,
2013,written code in a programming language,,
2014,written code in a programming language,,
2015,written code in a programming language,,6
2016,written code in a programming language,,6
2017,written code in a programming language,,6
2018,written code in a programming language,,
2019,written code in a programming language,,6
2010,"connecting and installing new devices, eg a printer or a modem",,
2011,"connecting and installing new devices, eg a printer or a modem",,45
2012,"connecting and installing new devices, eg a printer or a modem",,45
2013,"connecting and installing new devices, eg a printer or a modem",,
2014,"connecting and installing new devices, eg a printer or a modem",,49
2015,"connecting and installing new devices, eg a printer or a modem",,
2016,"connecting and installing new devices, eg a printer or a modem",,
2017,"connecting and installing new devices, eg a printer or a modem",,
2018,"connecting and installing new devices, eg a printer or a modem",,
2019,"connecting and installing new devices, eg a printer or a modem",,
2010,transferred files between computer and other devices,,
2011,transferred files between computer and other devices,,61
2012,transferred files between computer and other devices,,59
2013,transferred files between computer and other devices,,
2014,transferred files between computer and other devices,,65
2015,transferred files between computer and other devices,,60
2016,transferred files between computer and other devices,,62
2017,transferred files between computer and other devices,,64
2018,transferred files between computer and other devices,,
2019,transferred files between computer and other devices,,66
2010,installed software or applications (apps),,
2011,installed software or applications (apps),,
2012,installed software or applications (apps),,
2013,installed software or applications (apps),,
2014,installed software or applications (apps),,
2015,installed software or applications (apps),,60
2016,installed software or applications (apps),,63
2017,installed software or applications (apps),,62
2018,installed software or applications (apps),,
2019,installed software or applications (apps),,68
2010,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2011,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,33
2012,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,30
2013,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2014,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,34
2015,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2016,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2017,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2018,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2019,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",,
2010,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2011,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2012,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2013,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2014,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2015,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,32
2016,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,31
2017,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,33
2018,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,
2019,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,33
2010,copied or moved a file and folder,16 to under 25 years,
2011,copied or moved a file and folder,16 to under 25 years,94
2012,copied or moved a file and folder,16 to under 25 years,87
2013,copied or moved a file and folder,16 to under 25 years,
2014,copied or moved a file and folder,16 to under 25 years,94
2015,copied or moved a file and folder,16 to under 25 years,87
2016,copied or moved a file and folder,16 to under 25 years,86
2017,copied or moved a file and folder,16 to under 25 years,84
2018,copied or moved a file and folder,16 to under 25 years,
2019,copied or moved a file and folder,16 to under 25 years,82
2010,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,92
2012,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,85
2013,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,93
2015,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2016,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2017,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2018,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2019,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2010,written code in a programming language,16 to under 25 years,
2011,written code in a programming language,16 to under 25 years,
2012,written code in a programming language,16 to under 25 years,
2013,written code in a programming language,16 to under 25 years,
2014,written code in a programming language,16 to under 25 years,
2015,written code in a programming language,16 to under 25 years,12
2016,written code in a programming language,16 to under 25 years,13
2017,written code in a programming language,16 to under 25 years,12
2018,written code in a programming language,16 to under 25 years,
2019,written code in a programming language,16 to under 25 years,14
2010,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2011,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62
2012,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,57
2013,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2014,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62
2015,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2016,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2017,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2018,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2019,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2010,transferred files between computer and other devices,16 to under 25 years,
2011,transferred files between computer and other devices,16 to under 25 years,92
2012,transferred files between computer and other devices,16 to under 25 years,88
2013,transferred files between computer and other devices,16 to under 25 years,
2014,transferred files between computer and other devices,16 to under 25 years,91
2015,transferred files between computer and other devices,16 to under 25 years,86
2016,transferred files between computer and other devices,16 to under 25 years,85
2017,transferred files between computer and other devices,16 to under 25 years,83
2018,transferred files between computer and other devices,16 to under 25 years,
2019,transferred files between computer and other devices,16 to under 25 years,80
2010,installed software or applications (apps),16 to under 25 years,
2011,installed software or applications (apps),16 to under 25 years,
2012,installed software or applications (apps),16 to under 25 years,
