Year,Units,type of waste water,treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,,,,,,wastewater that is safely treated or does not require treatment,100
2011,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2012,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2013,percentage,,,,,,wastewater that is safely treated or does not require treatment,100
2014,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2015,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2016,percentage,,,,,,wastewater that is safely treated or does not require treatment,100
2017,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2018,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2019,percentage,,,,,,wastewater that is safely treated or does not require treatment,100
2020,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2021,percentage,,,s,,,wastewater that is safely treated or does not require treatment,100
2010,1 000 m³,total wastewater produced from public and non-public disposal,,,,,wastewater and cooling water,11202690
2011,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2012,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2013,1 000 m³,total wastewater produced from public and non-public disposal,,,,,wastewater and cooling water,10912539
2014,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2015,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2016,1 000 m³,total wastewater produced from public and non-public disposal,,,,,wastewater and cooling water,10618410
2017,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2018,1 000 m³,total wastewater produced from public and non-public disposal,,.,,,wastewater and cooling water,
2019,1 000 m³,total wastewater produced from public and non-public disposal,,,,,wastewater and cooling water,10127012
2010,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,,,,wastewater and cooling water,1568324
2011,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2012,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2013,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,,,,wastewater and cooling water,1513440
2014,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2015,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2016,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,,,,wastewater and cooling water,1510666
2017,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2018,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,.,,,wastewater and cooling water,
2019,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,,,,wastewater and cooling water,1601599
2010,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,,,,wastewater and cooling water,9634366
2011,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2012,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2013,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,,,,wastewater and cooling water,9399099
2014,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2015,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2016,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,,,,wastewater and cooling water,9107744
2017,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2018,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,.,,,wastewater and cooling water,
2019,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,,,,wastewater and cooling water,8525413
2010,1 000 m³,cooling water,,,,,wastewater and cooling water,24153706
2011,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2012,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2013,1 000 m³,cooling water,,,,,wastewater and cooling water,16582729
2014,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2015,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2016,1 000 m³,cooling water,,,,,wastewater and cooling water,15725418
2017,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2018,1 000 m³,cooling water,,.,,,wastewater and cooling water,
2019,1 000 m³,cooling water,,,,,wastewater and cooling water,11848201
