Year,type of water body,status class,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2009 - 2014,running waters,unclear,,,,2.8
2015 - 2020,running waters,unclear,,,,1.7
2009 - 2014,running waters,bad,,,,19.9
2015 - 2020,running waters,bad,,,,19.1
2009 - 2014,running waters,poor,,,,34.4
2015 - 2020,running waters,poor,,,,34.9
2009 - 2014,running waters,moderate,,,,36.2
2015 - 2020,running waters,moderate,,,,36.3
2009 - 2014,running waters,good or very good,,,,6.7
2015 - 2020,running waters,good or very good,,,,8.0
2009 - 2014,lakes,unclear,,,,2.9
2015 - 2020,lakes,unclear,,,,4.0
2009 - 2014,lakes,bad,,,,10.5
2015 - 2020,lakes,bad,,,,9.4
2009 - 2014,lakes,poor,,,,26.2
2015 - 2020,lakes,poor,,,,25.8
2009 - 2014,lakes,moderate,,,,34.0
2015 - 2020,lakes,moderate,,,,36.1
2009 - 2014,lakes,good or very good,,,,26.4
2015 - 2020,lakes,good or very good,,,,24.7
Bis 2008,water bodies in transitional and coastal waters - north sea,unclear,‒,,,0
2009 - 2014,water bodies in transitional and coastal waters - north sea,unclear,,,,14
2014 - 2019,water bodies in transitional and coastal waters - north sea,unclear,‒,,,0
Bis 2008,water bodies in transitional and coastal waters - north sea,bad,,,,4
2009 - 2014,water bodies in transitional and coastal waters - north sea,bad,,,,11
2014 - 2019,water bodies in transitional and coastal waters - north sea,bad,,,,14
Bis 2008,water bodies in transitional and coastal waters - north sea,poor,,,,32
2009 - 2014,water bodies in transitional and coastal waters - north sea,poor,,,,31
2014 - 2019,water bodies in transitional and coastal waters - north sea,poor,,,,32
Bis 2008,water bodies in transitional and coastal waters - north sea,moderate,,,,64
2009 - 2014,water bodies in transitional and coastal waters - north sea,moderate,,,,44
2014 - 2019,water bodies in transitional and coastal waters - north sea,moderate,,,,54
Bis 2008,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0
2009 - 2014,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0
2014 - 2019,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0
Bis 2008,water bodies in transitional and coastal waters - baltic sea,unclear,‒,,,0
2009 - 2014,water bodies in transitional and coastal waters - baltic sea,unclear,,,,4
2014 - 2019,water bodies in transitional and coastal waters - baltic sea,unclear,‒,,,0
Bis 2008,water bodies in transitional and coastal waters - baltic sea,bad,,,,16
2009 - 2014,water bodies in transitional and coastal waters - baltic sea,bad,,,,32
2014 - 2019,water bodies in transitional and coastal waters - baltic sea,bad,,,,27
Bis 2008,water bodies in transitional and coastal waters - baltic sea,poor,,,,50
2009 - 2014,water bodies in transitional and coastal waters - baltic sea,poor,,,,32
2014 - 2019,water bodies in transitional and coastal waters - baltic sea,poor,,,,40
Bis 2008,water bodies in transitional and coastal waters - baltic sea,moderate,,,,32
2009 - 2014,water bodies in transitional and coastal waters - baltic sea,moderate,,,,33
2014 - 2019,water bodies in transitional and coastal waters - baltic sea,moderate,,,,33
Bis 2008,water bodies in transitional and coastal waters - baltic sea,good or very good,,,,2
2009 - 2014,water bodies in transitional and coastal waters - baltic sea,good or very good,‒,,,0
2014 - 2019,water bodies in transitional and coastal waters - baltic sea,good or very good,‒,,,0
