Year,timeseries,sex,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,fatal occupational accidents,,,,,,1.2
2011,fatal occupational accidents,,,,,,1.2
2012,fatal occupational accidents,,,,,,1.2
2013,fatal occupational accidents,,,,,,1.0
2014,fatal occupational accidents,,,,,,1.2
2015,fatal occupational accidents,,,,,,1.0
2016,fatal occupational accidents,,,,,,1.0
2017,fatal occupational accidents,,,|,,,0.9
2018,fatal occupational accidents,,,,,,0.8
2019,fatal occupational accidents,,,,,,0.8
2020,fatal occupational accidents,,,|,,,0.7
2021,fatal occupational accidents,,,,,,0.8
2022,fatal occupational accidents,,,,,,0.7
2023,fatal occupational accidents,,,,,,0.7
2024,fatal occupational accidents,,,,,,0.6
2010,fatal occupational accidents,female,,,,,0.2
2011,fatal occupational accidents,female,,,,,0.1
2012,fatal occupational accidents,female,,,,,0.2
2013,fatal occupational accidents,female,,,,,0.1
2014,fatal occupational accidents,female,,,,,0.2
2015,fatal occupational accidents,female,,,,,0.1
2016,fatal occupational accidents,female,,,,,0.1
2017,fatal occupational accidents,female,,|,,,0.1
2018,fatal occupational accidents,female,,,,,0.1
2019,fatal occupational accidents,female,,,,,0.1
2020,fatal occupational accidents,female,,|,,,0.1
2021,fatal occupational accidents,female,,,,,0.1
2022,fatal occupational accidents,female,,,,,0.1
2023,fatal occupational accidents,female,,,,,0.1
2024,fatal occupational accidents,female,,,,,0.1
2010,fatal occupational accidents,male,,,,,2.1
2011,fatal occupational accidents,male,,,,,2.2
2012,fatal occupational accidents,male,,,,,2.1
2013,fatal occupational accidents,male,,,,,1.9
2014,fatal occupational accidents,male,,,,,2.1
2015,fatal occupational accidents,male,,,,,1.8
2016,fatal occupational accidents,male,,,,,1.8
2017,fatal occupational accidents,male,,|,,,1.6
2018,fatal occupational accidents,male,,,,,1.4
2019,fatal occupational accidents,male,,,,,1.4
2020,fatal occupational accidents,male,,|,,,1.3
2021,fatal occupational accidents,male,,,,,1.5
2022,fatal occupational accidents,male,,,,,1.3
2023,fatal occupational accidents,male,,,,,1.3
2024,fatal occupational accidents,male,,,,,1.1
