Year,Units,mode of transport,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,million passenger-kilometre,,…,,,passenger transport,
2011,million passenger-kilometre,,…,,,passenger transport,
2012,million passenger-kilometre,,…,,,passenger transport,
2013,million passenger-kilometre,,…,,,passenger transport,
2014,million passenger-kilometre,,…,,,passenger transport,
2015,million passenger-kilometre,,…,,,passenger transport,
2016,million passenger-kilometre,,…,,,passenger transport,
2017,million passenger-kilometre,,…,,,passenger transport,
2018,million passenger-kilometre,,…,,,passenger transport,
2019,million passenger-kilometre,,…,,,passenger transport,
2020,million passenger-kilometre,,,,,passenger transport,387316
2021,million passenger-kilometre,,,,,passenger transport,412861
2022,million passenger-kilometre,,,,,passenger transport,447744
2023,million passenger-kilometre,,,,,passenger transport,451432
2010,million passenger-kilometre,road transport,…,,,passenger transport,
2011,million passenger-kilometre,road transport,…,,,passenger transport,
2012,million passenger-kilometre,road transport,…,,,passenger transport,
2013,million passenger-kilometre,road transport,…,,,passenger transport,
2014,million passenger-kilometre,road transport,…,,,passenger transport,
2015,million passenger-kilometre,road transport,…,,,passenger transport,
2016,million passenger-kilometre,road transport,…,,,passenger transport,
2017,million passenger-kilometre,road transport,…,,,passenger transport,
2018,million passenger-kilometre,road transport,…,,,passenger transport,
2019,million passenger-kilometre,road transport,…,,,passenger transport,
2020,million passenger-kilometre,road transport,,,,passenger transport,333052
2021,million passenger-kilometre,road transport,,,,passenger transport,474192
2022,million passenger-kilometre,road transport,,,,passenger transport,474307
2023,million passenger-kilometre,road transport,,,,passenger transport,471128
2010,million passenger-kilometre,rail transport,…,,,passenger transport,
2011,million passenger-kilometre,rail transport,…,,,passenger transport,
2012,million passenger-kilometre,rail transport,…,,,passenger transport,
2013,million passenger-kilometre,rail transport,…,,,passenger transport,
2014,million passenger-kilometre,rail transport,…,,,passenger transport,
2015,million passenger-kilometre,rail transport,…,,,passenger transport,
2016,million passenger-kilometre,rail transport,…,,,passenger transport,
2017,million passenger-kilometre,rail transport,…,,,passenger transport,
2018,million passenger-kilometre,rail transport,…,,,passenger transport,
2019,million passenger-kilometre,rail transport,…,,,passenger transport,
2020,million passenger-kilometre,rail transport,,,,passenger transport,1147866
2021,million passenger-kilometre,rail transport,,,,passenger transport,1281136
