Year,Geschlecht,COMMENT_OBS,Value
2010,,r,5.6
2011,,r,5.8
2012,,r,6.1
2013,,r,6.1
2014,,r,6.7
2015,,r,6.7
2016,,r,6.5
2017,,r,6.1
2018,,r,6.0
2019,,r,4.8
2020,,s,6.1
2021,,r,6.0
2022,,e,4.8
2023,,e,4.3
2010,Weiblich,,6.4
2011,Weiblich,,6.8
2012,Weiblich,,7.2
2013,Weiblich,,7.2
2014,Weiblich,,7.4
2015,Weiblich,,7.4
2016,Weiblich,,7.8
2017,Weiblich,,7.1
2018,Weiblich,,6.8
2019,Weiblich,,5.7
2020,Weiblich,,6.8
2021,Weiblich,,6.6
2022,Weiblich,,5.5
2023,Weiblich,,5.0
2010,Männlich,,4.9
2011,Männlich,,4.9
2012,Männlich,,4.9
2013,Männlich,,5.0
2014,Männlich,,5.9
2015,Männlich,,5.9
2016,Männlich,,5.2
2017,Männlich,,5.0
2018,Männlich,,5.2
2019,Männlich,,3.9
2020,Männlich,,5.3
2021,Männlich,,5.4
2022,Männlich,,4.0
2023,Männlich,,3.6
