Year,Units,Zeitreihe,Value
2010,Millionen EUR,Zusagen,841.3
2011,Millionen EUR,Zusagen,1037.4
2012,Millionen EUR,Zusagen,1532.1
2013,Millionen EUR,Zusagen,1318.0
2014,Millionen EUR,Zusagen,1293.6
2015,Millionen EUR,Zusagen,1514.9
2016,Millionen EUR,Zusagen,1676.8
2017,Millionen EUR,Zusagen,2097.2
2018,Millionen EUR,Zusagen,2348.3
2019,Millionen EUR,Zusagen,2500.7
2020,Millionen EUR,Zusagen,3455.1
2021,Millionen EUR,Zusagen,4384.1
2010,Millionen EUR,Gesamte öffentliche Bruttoausgaben,778.1
2011,Millionen EUR,Gesamte öffentliche Bruttoausgaben,800.4
2012,Millionen EUR,Gesamte öffentliche Bruttoausgaben,815.8
2013,Millionen EUR,Gesamte öffentliche Bruttoausgaben,828.7
2014,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1094.8
2015,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1299.0
2016,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1657.0
2017,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1632.4
2018,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1681.2
2019,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1864.7
2020,Millionen EUR,Gesamte öffentliche Bruttoausgaben,3189.8
2021,Millionen EUR,Gesamte öffentliche Bruttoausgaben,3363.4
2010,"Millionen USD, konstante Preise (2021)",Zusagen,1214.0
2011,"Millionen USD, konstante Preise (2021)",Zusagen,1480.9
2012,"Millionen USD, konstante Preise (2021)",Zusagen,2154.9
2013,"Millionen USD, konstante Preise (2021)",Zusagen,1818.1
2014,"Millionen USD, konstante Preise (2021)",Zusagen,1751.7
2015,"Millionen USD, konstante Preise (2021)",Zusagen,2013.9
2016,"Millionen USD, konstante Preise (2021)",Zusagen,2199.9
2017,"Millionen USD, konstante Preise (2021)",Zusagen,2710.7
2018,"Millionen USD, konstante Preise (2021)",Zusagen,2975.5
2019,"Millionen USD, konstante Preise (2021)",Zusagen,3102.7
2020,"Millionen USD, konstante Preise (2021)",Zusagen,4210.8
2021,"Millionen USD, konstante Preise (2021)",Zusagen,5184.6
2010,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1122.7
2011,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1142.6
2012,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1147.4
2013,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1143.1
2014,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1482.5
2015,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1726.9
2016,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,2174.0
2017,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,2109.8
2018,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,2130.2
2019,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,2313.6
2020,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,3887.5
2021,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,3977.6
