Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,35.3
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,32.9
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,32.2
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,31.7
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,28.9
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,25.9
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,24.3
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,23.9
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,24.5
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,24.3
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,25.2
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,26.6
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,27.7
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,,,,29.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,,|,,,32.0
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,54.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,51.4
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,51.0
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,49.7
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,45.3
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,41.0
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,38.7
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,38.3
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,39.2
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,39.1
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,40.3
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,42.0
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,44.2
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,,,,46.9
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Weiblich,|,,,50.6
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,14.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,13.6
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,12.8
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,12.9
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,11.7
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,10.4
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,9.5
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,9.2
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,9.4
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,9.2
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,9.8
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,10.7
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,10.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,,,,12.1
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,,Männlich,|,,,12.9
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,4.3
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,4.1
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,4.3
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,4.3
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.8
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.3
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.3
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.3
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.8
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.6
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,3.8
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,4.2
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,5.2
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,,|,,,6.3
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.5
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.3
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,6.4
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.7
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.6
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.5
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.2
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.7
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.7
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,4.4
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.1
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,5.9
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,6.5
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,|,,,7.6
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,3.3
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.9
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.4
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,3.0
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.3
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.4
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.2
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.4
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.0
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.9
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.8
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.5
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,2.6
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,3.9
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,|,,,5.0
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,39.8
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,38.3
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,34.3
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,35.7
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,33.0
