Year,Units,Sektor,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,566.859
2011,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,748.48
2012,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1075.52
2013,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,803.379
2014,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,696.313
2015,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,854.934
2016,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,591.005
2017,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1263.616
2018,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1416.619
2019,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1223.479
2020,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1135.461
2021,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1052.936
2022,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1400.488
2023,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,698.579
2024,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1393.622
2010,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,367.776
2011,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,64.273
2012,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,76.692
2013,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,228.64
2014,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,138.361
2015,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,668.163
2016,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,946.723
2017,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,421.653
2018,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,52.203
2019,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,793.824
2020,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,798.468
2021,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,642.954
2022,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,527.784
2023,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,839.404
2024,Millionen EUR,Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,541.665
2010,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,18.576
2011,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,12.374
2012,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,9.101
2013,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,27.46
2014,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,54.694
2015,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,28.116
2016,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,12.666
2017,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,33.175
2018,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,11.928
2019,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,61.076
2020,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,39.841
2021,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,150.329
2022,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,88.587
2023,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,48.214
2024,Millionen EUR,Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,38.935
2010,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1813.137
2011,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1114.534
2012,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1043.354
2013,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1581.735
2014,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2974.079
2015,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2001.063
2016,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2332.488
2017,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2172.595
2018,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2931.578
2019,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2007.762
2020,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1594.5
2021,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1416.67
2022,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,3563.555
2023,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,3080.325
2024,Millionen EUR,Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1987.54
2010,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,51.869
2011,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,313.286
2012,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,48.912
2013,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,135.842
2014,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,51.927
2015,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,90.856
2016,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,455.108
2017,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,204.952
2018,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,215.715
2019,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,280.982
2020,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,346.96
2021,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,137.054
2022,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,808.189
2023,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,437.784
2024,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,137.464
2010,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,449.387
2011,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,495.117
2012,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,450.456
2013,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,490.458
2014,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,686.944
2015,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,739.473
2016,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,743.538
2017,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,797.765
2018,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,837.61
2019,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,763.001
2020,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,824.907
2021,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,728.218
2022,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,771.218
2023,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,886.445
2024,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1299.174
2010,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,134.292
2011,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,187.662
2012,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,163.622
2013,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,276.122
2014,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,105.962
2015,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,432.619
2016,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,378.383
2017,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,242.894
2018,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,273.935
2019,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,444.629
2020,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,346.776
2021,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,165.431
2022,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,247.648
2023,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,355.743
2024,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,451.456
2010,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,20.555
2011,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,7.778
2012,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,5.479
2013,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,22.854
2014,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,57.058
2015,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,25.187
2016,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,13.898
2017,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,26.97
2018,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,8.941
2019,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,28.875
2020,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,36.512
2021,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,68.153
2022,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,82.24
2023,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,55.395
2024,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,50.404
2010,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1044.339
2011,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,895.864
2012,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,614.358
2013,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,924.214
2014,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1221.904
2015,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1621.932
2016,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1698.765
2017,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1492.676
2018,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1570.578
2019,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1600.496
2020,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1577.668
2021,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1375.152
2022,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1988.187
2023,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2238.748
2024,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2663.402
2010,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,63.574
2011,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,88.251
2012,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,73.644
2013,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,48.583
2014,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,51.959
2015,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,65.08
2016,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,131.599
2017,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,152.943
2018,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,230.109
2019,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,217.125
