Year,Units,Bereich,Value
2020,Tonnen,,1
2021,Tonnen,,2
2020,Tonnen,Einzelhandel/Vertrieb,2
2021,Tonnen,Einzelhandel/Vertrieb,3
2020,Tonnen,Gaststätten und Verpflegungsdienste,3
2021,Tonnen,Gaststätten und Verpflegungsdienste,4
2020,Tonnen,Private Haushalte,4
2021,Tonnen,Private Haushalte,5
2020,Kilogramm pro Kopf,,11
2021,Kilogramm pro Kopf,,22
2020,Kilogramm pro Kopf,Einzelhandel/Vertrieb,22
2021,Kilogramm pro Kopf,Einzelhandel/Vertrieb,33
2020,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienste,33
2021,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienste,44
2020,Kilogramm pro Kopf,Private Haushalte,44
2021,Kilogramm pro Kopf,Private Haushalte,55
