Year,Units,Abfallart,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,Siedlungsabfälle insgesamt,.,,,Nationale Recyclingquote,
2011,Prozent,Siedlungsabfälle insgesamt,.,,,Nationale Recyclingquote,
2012,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,42.3
2013,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,43.2
2014,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,42.5
2015,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,38.8
2016,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,35.8
2017,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,34.8
2018,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,35.6
2019,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,30.4
2020,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,35.2
2021,Prozent,Siedlungsabfälle insgesamt,|,,,Nationale Recyclingquote,35.7
2022,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,41.3
2023,Prozent,Siedlungsabfälle insgesamt,,,,Nationale Recyclingquote,38.9
2024,Prozent,Siedlungsabfälle insgesamt,|,,,Nationale Recyclingquote,44.1
2010,1 000 Tonnen,Siedlungsabfälle insgesamt,.,,,Stoffliche Verwertung,
2011,1 000 Tonnen,Siedlungsabfälle insgesamt,.,,,Stoffliche Verwertung,
2012,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,59.3
2013,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,79.2
2014,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,78.4
2015,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,73.8
2016,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,66.3
2017,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,62.7
2018,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,63.8
2019,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,54.8
2020,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,63.2
2021,1 000 Tonnen,Siedlungsabfälle insgesamt,|,,,Stoffliche Verwertung,64.3
2022,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,73.8
2023,1 000 Tonnen,Siedlungsabfälle insgesamt,,,,Stoffliche Verwertung,68.0
2024,1 000 Tonnen,Siedlungsabfälle insgesamt,|,,,Stoffliche Verwertung,77.1
2010,Prozent,Abfallaufkommen insgesamt,.,,,Nationale Recyclingquote,
2011,Prozent,Abfallaufkommen insgesamt,.,,,Nationale Recyclingquote,
2012,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,6.2
2013,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,9.1
2014,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,8.5
2015,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,5.7
2016,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,7.5
2017,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,9.0
2018,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,9.4
2019,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,7.6
2020,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,8.9
2021,Prozent,Abfallaufkommen insgesamt,|,,,Nationale Recyclingquote,8.7
2022,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,10.8
2023,Prozent,Abfallaufkommen insgesamt,,,,Nationale Recyclingquote,11.6
2024,Prozent,Abfallaufkommen insgesamt,|,,,Nationale Recyclingquote,13.4
2010,1 000 Tonnen,Abfallaufkommen insgesamt,.,,,Stoffliche Verwertung,
2011,1 000 Tonnen,Abfallaufkommen insgesamt,.,,,Stoffliche Verwertung,
2012,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,31.1
2013,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,30.5
2014,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,33.3
2015,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,32.4
2016,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,29.7
2017,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,35.2
2018,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,33.4
2019,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,28.0
2020,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,38.3
2021,1 000 Tonnen,Abfallaufkommen insgesamt,|,,,Stoffliche Verwertung,35.9
2022,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,38.5
2023,1 000 Tonnen,Abfallaufkommen insgesamt,,,,Stoffliche Verwertung,38.2
2024,1 000 Tonnen,Abfallaufkommen insgesamt,|,,,Stoffliche Verwertung,42.9
