Year,Units,Series,Value
2021,Anzahl,Plastikmüll an Stränden der deutschen Nordseeküste,
2022,Anzahl,Plastikmüll an Stränden der deutschen Nordseeküste,999.0
2023,Anzahl,Plastikmüll an Stränden der deutschen Nordseeküste,
2010,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",61.6
2011,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",61.4
2012,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",56.6
2013,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",56.4
2014,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",59.5
2015,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",59.0
2016,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",59.1
2017,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",58.9
2018,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",55.8
2019,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",51.2
2020,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",50.0
2021,Prozent,"Eissturmvogel-Totfunde an der deutschen Nordsee-Küste mit mehr als 0,1 Gramm Kunststoff im Magen",48.5
