Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,43.5
2011,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,41.6
2012,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,41.5
2013,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,41.2
2014,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,38.7
2015,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,40.4
2016,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,41.6
2017,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,40.6
2018,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,38.7
2019,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,38.7
2020,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",r,,,35.8
2021,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,36.4
2010,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.7
2011,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.0
2012,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.6
2013,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.3
2014,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.5
2015,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.1
2016,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,15.5
2017,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,14.4
2018,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",,,,13.8
2019,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",.,,,
2020,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",.,,,
2021,Hektar,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",…,,,
2010,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",,,,85.7
2011,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,84.5
2012,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,82.3
2013,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,83.2
2014,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,84.5
2015,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,83.9
2016,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,83.5
2017,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,82.1
2018,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",,,,80.6
2019,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,77.1
2020,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,73.7
2021,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",,,,75.0
2010,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,300.8
2011,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,290.4
2012,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,295.4
2013,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,291.1
2014,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,284.7
2015,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,279.9
2016,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,280.1
2017,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,265.3
2018,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,258.4
2019,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,231.2
2020,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",r,,,208.8
2021,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",,,,221.0
2010,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,34.2
2011,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.9
2012,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.9
2013,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,33.2
2014,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.1
2015,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.6
2016,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.9
2017,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,32.2
2018,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.3
2019,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.9
2020,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",r,,,31.1
2021,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,31.2
2010,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,20.4
2011,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,22.0
2012,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,22.6
2013,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,23.7
2014,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,21.6
2015,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,22.4
2016,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,17.8
2017,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",…,,,
2018,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",…,,,
2019,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,13.4
2020,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,12.3
2021,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",,,,14.4
