Year,Landbedeckungsklasse,Bioklimatischer Gürtel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,,,,,,a) Index der Grünbedeckung in Gebirgen,93.061
2018,,,,,,a) Index der Grünbedeckung in Gebirgen,93.038
2021,,,,,,a) Index der Grünbedeckung in Gebirgen,93.223
2015,Ackerflächen,,,,,a) Index der Grünbedeckung in Gebirgen,13.767
2018,Ackerflächen,,,,,a) Index der Grünbedeckung in Gebirgen,13.766
2021,Ackerflächen,,,,,a) Index der Grünbedeckung in Gebirgen,14.364
2015,Grasland,,,,,a) Index der Grünbedeckung in Gebirgen,22.962
2018,Grasland,,,,,a) Index der Grünbedeckung in Gebirgen,22.949
2021,Grasland,,,,,a) Index der Grünbedeckung in Gebirgen,22.562
2015,Baumbestandene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,55.183
2018,Baumbestandene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,55.143
2021,Baumbestandene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,54.748
2015,Mit Sträuchern bewachsene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,0.963
2018,Mit Sträuchern bewachsene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,0.967
2021,Mit Sträuchern bewachsene Flächen,,,,,a) Index der Grünbedeckung in Gebirgen,1.372
2015,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",,,,,a) Index der Grünbedeckung in Gebirgen,0.213
2018,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",,,,,a) Index der Grünbedeckung in Gebirgen,0.213
2021,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",,,,,a) Index der Grünbedeckung in Gebirgen,0.178
2015,,Nival,,,,a) Index der Grünbedeckung in Gebirgen,3.957
2018,,Nival,,,,a) Index der Grünbedeckung in Gebirgen,4.754
2021,,Nival,,,,a) Index der Grünbedeckung in Gebirgen,3.957
2015,Ackerflächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2018,Ackerflächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2021,Ackerflächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2015,Grasland,Nival,,,,a) Index der Grünbedeckung in Gebirgen,3.161
2018,Grasland,Nival,,,,a) Index der Grünbedeckung in Gebirgen,3.161
2021,Grasland,Nival,,,,a) Index der Grünbedeckung in Gebirgen,3.161
2015,Baumbestandene Flächen,Nival,,,,a) Index der Grünbedeckung in Gebirgen,0.796
2018,Baumbestandene Flächen,Nival,,,,a) Index der Grünbedeckung in Gebirgen,1.593
2021,Baumbestandene Flächen,Nival,,,,a) Index der Grünbedeckung in Gebirgen,0.796
2015,Mit Sträuchern bewachsene Flächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2018,Mit Sträuchern bewachsene Flächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2021,Mit Sträuchern bewachsene Flächen,Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2015,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2018,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2021,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Nival,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2015,,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,57.322
2018,,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,57.249
2021,,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,57.249
2015,Ackerflächen,Alpin,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2018,Ackerflächen,Alpin,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2021,Ackerflächen,Alpin,‒,,,a) Index der Grünbedeckung in Gebirgen,0.0
2015,Grasland,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,37.267
2018,Grasland,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,37.112
2021,Grasland,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,37.112
2015,Baumbestandene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,19.129
2018,Baumbestandene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,19.211
2021,Baumbestandene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,19.211
2015,Mit Sträuchern bewachsene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.911
2018,Mit Sträuchern bewachsene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.912
2021,Mit Sträuchern bewachsene Flächen,Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.912
2015,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.015
2018,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.015
2021,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Alpin,,,,a) Index der Grünbedeckung in Gebirgen,0.015
2015,,Montan,,,,a) Index der Grünbedeckung in Gebirgen,93.112
2018,,Montan,,,,a) Index der Grünbedeckung in Gebirgen,93.089
2021,,Montan,,,,a) Index der Grünbedeckung in Gebirgen,93.265
2015,Ackerflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,13.785
2018,Ackerflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,13.783
2021,Ackerflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,14.379
2015,Grasland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,22.947
2018,Grasland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,22.935
2021,Grasland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,22.549
2015,Baumbestandene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,55.23
2018,Baumbestandene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,55.191
2021,Baumbestandene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,54.786
2015,Mit Sträuchern bewachsene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.936
2018,Mit Sträuchern bewachsene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.967
2021,Mit Sträuchern bewachsene Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,1.372
2015,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.213
2018,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.213
2021,"Sträucher und/oder krautige Vegetation, aquatisch oder regelmäßig überflutet",Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.178
2015,,,,,,b) Anteil der degradierten Gebirgsfläche,0.05
2021,,,,,,b) Anteil der degradierten Gebirgsfläche,0.03
