Year,Units,Messgröße,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,440.9
2011,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,877.7
2012,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,755.3
2013,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,754.0
2014,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,926.2
2015,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1050.8
2016,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1004.9
2017,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1602.2
2018,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1350.6
2019,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1990.5
2020,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2084.9
2021,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2107.5
2022,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2850.2
2023,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2161.0
2024,Millionen EUR,Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2394.7
2010,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,318.6
2011,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,440.7
2012,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,601.6
2013,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,616.5
2014,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,702.4
2015,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,687.2
2016,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,935.1
2017,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1321.5
2018,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1216.5
2019,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1449.9
2020,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1787.8
2021,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2107.5
2022,Millionen EUR,Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2850.2
2010,Millionen EUR,,,,,Umweltschutzausgaben,52116.0
2011,Millionen EUR,,,,,Umweltschutzausgaben,54918.0
2012,Millionen EUR,,,,,Umweltschutzausgaben,57022.0
2013,Millionen EUR,,,,,Umweltschutzausgaben,58937.0
2014,Millionen EUR,,,,,Umweltschutzausgaben,63026.0
2015,Millionen EUR,,,,,Umweltschutzausgaben,64748.0
2016,Millionen EUR,,,,,Umweltschutzausgaben,67478.0
2017,Millionen EUR,,,,,Umweltschutzausgaben,70053.0
2018,Millionen EUR,,,,,Umweltschutzausgaben,74164.0
