Year,Units,funding sector,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Biodiversität,Zusagen,,,,440.9
2011,Millionen EUR,Biodiversität,Zusagen,,,,877.7
2012,Millionen EUR,Biodiversität,Zusagen,,,,755.3
2013,Millionen EUR,Biodiversität,Zusagen,,,,754.0
2014,Millionen EUR,Biodiversität,Zusagen,,,,926.2
2015,Millionen EUR,Biodiversität,Zusagen,,,,1050.8
2016,Millionen EUR,Biodiversität,Zusagen,,,,1004.9
2017,Millionen EUR,Biodiversität,Zusagen,,,,1602.2
2018,Millionen EUR,Biodiversität,Zusagen,,,,1350.6
2019,Millionen EUR,Biodiversität,Zusagen,,,,1990.5
2020,Millionen EUR,Biodiversität,Zusagen,,,,2084.9
2021,Millionen EUR,Biodiversität,Zusagen,,,,2107.5
2022,Millionen EUR,Biodiversität,Zusagen,,,,2850.2
2023,Millionen EUR,Biodiversität,Zusagen,,,,2161.0
2024,Millionen EUR,Biodiversität,Zusagen,,,,2394.7
2010,Millionen EUR,Forstsektor,Zusagen,,,,65.575
2011,Millionen EUR,Forstsektor,Zusagen,,,,118.745
2012,Millionen EUR,Forstsektor,Zusagen,,,,83.549
2013,Millionen EUR,Forstsektor,Zusagen,,,,51.584
2014,Millionen EUR,Forstsektor,Zusagen,,,,107.353
2015,Millionen EUR,Forstsektor,Zusagen,,,,83.089
2016,Millionen EUR,Forstsektor,Zusagen,,,,52.681
2017,Millionen EUR,Forstsektor,Zusagen,,,,109.101
2018,Millionen EUR,Forstsektor,Zusagen,,,,61.652
2019,Millionen EUR,Forstsektor,Zusagen,,,,390.944
2020,Millionen EUR,Forstsektor,Zusagen,,,,222.724
2021,Millionen EUR,Forstsektor,Zusagen,,,,159.939
2022,Millionen EUR,Forstsektor,Zusagen,,,,212.589
2023,Millionen EUR,Forstsektor,Zusagen,,,,239.394
2024,Millionen EUR,Forstsektor,Zusagen,,,,184.423
2010,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,318.6
2011,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,440.7
2012,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,601.6
2013,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,616.5
2014,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,702.4
2015,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,687.2
2016,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,935.1
2017,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,1321.5
2018,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,1216.5
2019,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,1449.9
2020,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,1787.8
2021,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,2107.5
2022,Millionen EUR,Biodiversität,Bruttoauszahlungen,,,,2850.2
