Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,306.3
2011,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,312.1
2012,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,336.9
2013,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,391.4
2014,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,406.8
2015,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,404.4
2016,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,447.8
2017,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,474.7
2018,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,490.5
2019,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,474.5
2020,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,489.4
2021,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,560.0
2022,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,537.3
2023,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,611.7
2024,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,624.9
2010,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2011,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2012,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2013,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2014,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2015,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2016,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2017,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2018,,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,4.0
2019,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2020,,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,4.0
2021,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2022,,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,4.0
2023,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2024,,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,5.0
2020,.,,,Genehmigte Ein- und Ausfuhren geschützter Arten,
2021,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,100.0
2022,.,,,Genehmigte Ein- und Ausfuhren geschützter Arten,
