Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,a) Prävalenzrate bei physischer Gewalt,,,,,|,r,,2.3
2020,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,,,|,r,,5.7
2020,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,,,|,r,,3.7
2020,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,,,|,r,,2.2
2020,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,,,|,r,,1.5
2020,a) Prävalenzrate bei physischer Gewalt,55 bis unter 65 Jahre,,,,|,r,,1.3
2020,a) Prävalenzrate bei physischer Gewalt,65 bis unter 75 Jahre,,,,|,r,,1.2
2020,a) Prävalenzrate bei physischer Gewalt,75 Jahre und älter,,,,|,r,,1.0
2020,a) Prävalenzrate bei physischer Gewalt,,Weiblich,,,|,r,,1.6
2020,a) Prävalenzrate bei physischer Gewalt,,Männlich,,,|,r,,3.0
2012,a) Prävalenzrate bei physischer Gewalt,,,Körperverletzung,,,,,2.7
2017,a) Prävalenzrate bei physischer Gewalt,,,Körperverletzung,,,,,3.0
2020,a) Prävalenzrate bei physischer Gewalt,,,Körperverletzung,,,,,2.0
2012,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,10.1
2017,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,10.4
2020,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,4.6
2012,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.4
2017,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,4.6
2020,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,3.5
2012,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,2.4
2017,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,2.8
2020,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,2.0
2012,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,1.9
2017,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,2.3
2020,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,1.4
2012,a) Prävalenzrate bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.6
2017,a) Prävalenzrate bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,1.4
2020,a) Prävalenzrate bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,1.2
2017,a) Prävalenzrate bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.6
2020,a) Prävalenzrate bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,1.0
2017,a) Prävalenzrate bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.2
2020,a) Prävalenzrate bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.9
2012,a) Prävalenzrate bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,1.5
2017,a) Prävalenzrate bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,2.0
2020,a) Prävalenzrate bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,1.3
2012,a) Prävalenzrate bei physischer Gewalt,,Männlich,Körperverletzung,,,,,4.0
2017,a) Prävalenzrate bei physischer Gewalt,,Männlich,Körperverletzung,,,,,4.0
2020,a) Prävalenzrate bei physischer Gewalt,,Männlich,Körperverletzung,,,,,2.8
2012,a) Prävalenzrate bei physischer Gewalt,,,Raub,,,,,0.7
2017,a) Prävalenzrate bei physischer Gewalt,,,Raub,,,,,1.0
2020,a) Prävalenzrate bei physischer Gewalt,,,Raub,,,,,0.6
2012,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,2.6
2017,a) Prävalenzrate bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,3.5
2012,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,0.9
2017,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,1.2
2020,a) Prävalenzrate bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,0.5
2012,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,0.5
2017,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,1.0
2020,a) Prävalenzrate bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,0.6
2012,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,0.4
2017,a) Prävalenzrate bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,0.8
