Year,Geschlecht,Form der Misshandlung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Weiblich,,.,,,
2020,Weiblich,,,,,66.4
2021,Weiblich,,…,,,
2019,Männlich,,.,,,
2020,Männlich,,,,,31.3
2021,Männlich,,…,,,
2019,,Körperliche Misshandlung,.,,,
2020,,Körperliche Misshandlung,,,,2.1
2021,,Körperliche Misshandlung,…,,,
2019,Weiblich,Körperliche Misshandlung,.,,,
2020,Weiblich,Körperliche Misshandlung,,,,0.2
2021,Weiblich,Körperliche Misshandlung,…,,,
2019,Männlich,Körperliche Misshandlung,.,,,
2020,Männlich,Körperliche Misshandlung,,,,75.5
2021,Männlich,Körperliche Misshandlung,…,,,
2019,,Psychische Misshandlung,.,,,
2020,,Psychische Misshandlung,,,,22.2
2021,,Psychische Misshandlung,…,,,
2019,Weiblich,Psychische Misshandlung,.,,,
2020,Weiblich,Psychische Misshandlung,,,,1.7
2021,Weiblich,Psychische Misshandlung,…,,,
2019,Männlich,Psychische Misshandlung,.,,,
2020,Männlich,Psychische Misshandlung,,,,0.6
2021,Männlich,Psychische Misshandlung,…,,,
