Year,Units,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,‒,,,0.0
2011,Millionen EUR,Zusagen,‒,,,0.0
2012,Millionen EUR,Zusagen,‒,,,0.0
2013,Millionen EUR,Zusagen,‒,,,0.0
2014,Millionen EUR,Zusagen,‒,,,0.0
2015,Millionen EUR,Zusagen,‒,,,0.0
2016,Millionen EUR,Zusagen,,,,9.0
2017,Millionen EUR,Zusagen,‒,,,0.0
2018,Millionen EUR,Zusagen,‒,,,0.0
2019,Millionen EUR,Zusagen,,,,3.3
2020,Millionen EUR,Zusagen,,,,26.5
2021,Millionen EUR,Zusagen,r,,,25.0
2022,Millionen EUR,Zusagen,,,,30.0
2010,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2011,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2012,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2013,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2014,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2015,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2016,Millionen EUR,Bruttoauszahlungen,,,,9.0
2017,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2018,Millionen EUR,Bruttoauszahlungen,‒,,,0.0
2019,Millionen EUR,Bruttoauszahlungen,,,,0.03
2020,Millionen EUR,Bruttoauszahlungen,,,,24.75
2021,Millionen EUR,Bruttoauszahlungen,r,,,25.46
2022,Millionen EUR,Bruttoauszahlungen,,,,30.24
2010,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2011,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2012,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2013,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2014,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2015,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2016,"Millionen USD, konstante Preise (2022)",Zusagen,,,,11.06
2017,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2018,"Millionen USD, konstante Preise (2022)",Zusagen,‒,,,0.0
2019,"Millionen USD, konstante Preise (2022)",Zusagen,,,,3.83
2020,"Millionen USD, konstante Preise (2022)",Zusagen,,,,30.22
2021,"Millionen USD, konstante Preise (2022)",Zusagen,,,,27.68
2022,"Millionen USD, konstante Preise (2022)",Zusagen,,,,31.55
2010,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2011,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2012,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2013,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2014,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2015,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2016,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,,,,11.06
2017,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2018,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,‒,,,0.0
2019,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,,,,0.03
2020,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,,,,28.23
2021,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,,,,28.19
2022,"Millionen USD, konstante Preise (2022)",Bruttoauszahlungen,,,,31.8
