Year,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Öffentliche Entwicklungsleistungen,,,,0.37
2011,Öffentliche Entwicklungsleistungen,,,,0.36
2012,Öffentliche Entwicklungsleistungen,,,,0.35
2013,Öffentliche Entwicklungsleistungen,,,,0.37
2014,Öffentliche Entwicklungsleistungen,,,,0.41
2015,Öffentliche Entwicklungsleistungen,,,,0.51
2016,Öffentliche Entwicklungsleistungen,,,,0.68
2017,Öffentliche Entwicklungsleistungen,,,,0.65
2018,Öffentliche Entwicklungsleistungen,,,,0.61
2019,Öffentliche Entwicklungsleistungen,,,,0.59
2020,Öffentliche Entwicklungsleistungen,,,,0.73
2021,Öffentliche Entwicklungsleistungen,,,,0.72
2022,Öffentliche Entwicklungsleistungen,p,,,0.84
2023,Öffentliche Entwicklungsleistungen,p,,,0.88
2024,Öffentliche Entwicklungsleistungen,p,,,0.68
2010,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.1
2011,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.09
2012,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.1
2013,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.09
2014,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.09
2015,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.07
2016,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.1
2017,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.11
2018,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.12
2019,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.11
2020,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.14
2021,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),,,,0.14
2022,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),p,,,0.11
2023,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),p,,,0.2
2024,Bilaterale und kalkulatorisch multilaterale öffentliche Entwicklungsausgaben für die am wenigsten entwickelten Länder (LDCs),p,,,0.08
