Year,Units,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,915.979
2011,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,809.223
2012,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,740.52
2013,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,835.927
2014,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1115.451
2015,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1578.019
2016,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1278.447
2017,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,2141.104
2018,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1733.447
2019,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1873.352
2020,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,3043.442
2021,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,2889.194
2022,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,2922.855
2023,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,3486.589
2024,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,2512.359
2010,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,674.991
2011,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,703.802
2012,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,743.479
2013,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,819.911
2014,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,929.041
2015,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1301.967
2016,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1210.381
2017,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1536.772
2018,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1777.038
2019,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1571.422
2020,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2213.092
2021,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2363.1
2022,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2751.262
2023,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2322.643
2024,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,3495.474
2010,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2011,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2012,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2013,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2014,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2015,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2016,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2017,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2018,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,373.855
2019,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,155.77
2020,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,182.196
2021,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,52.668
2022,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,50.0
2023,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2024,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2010,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2011,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2012,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2013,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2014,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2015,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2016,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2017,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2018,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,373.855
2019,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,155.77
2020,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,182.196
2021,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,52.668
2022,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,50.0
2023,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2024,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1405.173
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1226.298
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1106.311
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1224.397
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1603.408
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,2229.462
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,1783.725
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,2944.007
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,2339.682
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,2478.61
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,3957.389
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,3658.377
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,3477.692
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,3888.109
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,2717.239
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1035.482
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1066.543
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1110.732
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1200.938
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1335.452
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1839.449
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1688.757
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2113.054
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2398.518
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2079.13
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2877.684
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2992.223
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,3273.526
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2590.122
