Year,Units,Art der Erkrankung,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,,,,,,12.74
2011,Prozent,,,,,,12.41
2012,Prozent,,,,,,12.17
2013,Prozent,,,,,,12.19
2014,Prozent,,,,,,11.72
2015,Prozent,,,,,,11.93
2016,Prozent,,,,,,11.73
2017,Prozent,,,,,,11.43
2018,Prozent,,,,,,11.43
2019,Prozent,,,,,,11.02
2020,Prozent,,,,,,10.94
2021,Prozent,,,,,,10.85
2022,Prozent,,,,,,10.81
2023,Prozent,,,,,,10.66
2024,Prozent,,,,,,10.45
2010,Prozent,a) Krankheiten des Kreislaufsystems,,,,,4.49
2011,Prozent,a) Krankheiten des Kreislaufsystems,,,,,4.19
2012,Prozent,a) Krankheiten des Kreislaufsystems,,,,,4.15
2013,Prozent,a) Krankheiten des Kreislaufsystems,,,,,4.13
2014,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.96
2015,Prozent,a) Krankheiten des Kreislaufsystems,,,,,4.08
2016,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.91
2017,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.78
2018,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.8
2019,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.59
2020,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.63
2021,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.71
2022,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.66
2023,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.61
2024,Prozent,a) Krankheiten des Kreislaufsystems,,,,,3.49
2010,Prozent,b) Bösartige Neubildungen,,,,,7.6
2011,Prozent,b) Bösartige Neubildungen,,,,,7.53
2012,Prozent,b) Bösartige Neubildungen,,,,,7.35
2013,Prozent,b) Bösartige Neubildungen,,,,,7.3
2014,Prozent,b) Bösartige Neubildungen,,,,,7.04
2015,Prozent,b) Bösartige Neubildungen,,,,,7.04
2016,Prozent,b) Bösartige Neubildungen,,,,,7.02
2017,Prozent,b) Bösartige Neubildungen,,,,,6.78
2018,Prozent,b) Bösartige Neubildungen,,,,,6.75
2019,Prozent,b) Bösartige Neubildungen,,,,,6.57
2020,Prozent,b) Bösartige Neubildungen,,,,,6.47
2021,Prozent,b) Bösartige Neubildungen,,,,,6.31
2022,Prozent,b) Bösartige Neubildungen,,,,,6.23
2023,Prozent,b) Bösartige Neubildungen,,,,,6.1
2024,Prozent,b) Bösartige Neubildungen,,,,,5.99
2010,Prozent,c) Diabetes mellitus,,,,,0.35
2011,Prozent,c) Diabetes mellitus,,,,,0.35
2012,Prozent,c) Diabetes mellitus,,,,,0.35
2013,Prozent,c) Diabetes mellitus,,,,,0.36
2014,Prozent,c) Diabetes mellitus,,,,,0.33
2015,Prozent,c) Diabetes mellitus,,,,,0.35
2016,Prozent,c) Diabetes mellitus,,,,,0.34
2017,Prozent,c) Diabetes mellitus,,,,,0.36
2018,Prozent,c) Diabetes mellitus,,,,,0.35
2019,Prozent,c) Diabetes mellitus,,,,,0.34
2020,Prozent,c) Diabetes mellitus,,,,,0.35
2021,Prozent,c) Diabetes mellitus,,,,,0.35
2022,Prozent,c) Diabetes mellitus,,,,,0.34
2023,Prozent,c) Diabetes mellitus,,,,,0.34
2024,Prozent,c) Diabetes mellitus,,,,,0.35
2010,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.78
2011,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.79
2012,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.75
2013,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.84
2014,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.79
2015,Prozent,d) Chronische Atemwegserkrankungen,,,,,0.88
