Year,Units,Art der öffentlichen Entwicklungsleistung,Bereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,Stipendien,,,,134.336
2011,Millionen EUR,Zusagen,Stipendien,,,,129.642
2012,Millionen EUR,Zusagen,Stipendien,,,,116.643
2013,Millionen EUR,Zusagen,Stipendien,,,,100.763
2014,Millionen EUR,Zusagen,Stipendien,,,,64.74
2015,Millionen EUR,Zusagen,Stipendien,,,,85.092
2016,Millionen EUR,Zusagen,Stipendien,,,,75.084
2017,Millionen EUR,Zusagen,Stipendien,,,,63.658
2018,Millionen EUR,Zusagen,Stipendien,,,,65.25
2019,Millionen EUR,Zusagen,Stipendien,,,,67.675
2020,Millionen EUR,Zusagen,Stipendien,,,,70.268
2021,Millionen EUR,Zusagen,Stipendien,,,,45.284
2022,Millionen EUR,Zusagen,Stipendien,,,,28.668
2023,Millionen EUR,Zusagen,Stipendien,,,,17.728
2024,Millionen EUR,Zusagen,Stipendien,,,,17.614
2010,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,669.645
2011,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,665.131
2012,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,690.405
2013,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,670.771
2014,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,739.829
2015,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,845.527
2016,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,904.583
2017,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,998.585
2018,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1121.055
2019,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1318.333
2020,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1488.856
2021,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1669.123
2022,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1779.444
2023,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,1980.449
2024,Millionen EUR,Zusagen,Kalkulatorische Studienplatzkosten,,,,2196.572
2010,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,130.229
2011,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,120.753
2012,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,113.189
2013,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,96.087
2014,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,57.268
2015,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,82.565
2016,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,74.676
2017,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,68.291
2018,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,65.998
2019,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,65.952
2020,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,72.176
2021,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,41.849
2022,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,21.146
2023,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,16.15
2024,Millionen EUR,Bruttoauszahlungen,Stipendien,,,,18.603
2010,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,669.645
2011,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,665.131
2012,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,690.405
2013,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,670.771
2014,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,739.829
2015,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,845.527
2016,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,904.583
2017,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,998.585
2018,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1121.055
2019,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1318.333
2020,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1488.856
2021,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1669.123
2022,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1779.444
2023,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1980.449
2024,Millionen EUR,Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,2196.572
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,206.08
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,196.46
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,174.26
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,147.59
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,93.06
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,120.22
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,104.76
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,87.53
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,88.07
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,89.54
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,91.37
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,57.34
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,34.11
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,19.77
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Stipendien,,,,19.05
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1027.28
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1007.94
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1031.44
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,982.49
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Kalkulatorische Studienplatzkosten,,,,2375.7
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,199.78
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,182.99
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,169.1
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,140.74
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,82.32
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,116.65
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,104.19
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,93.9
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,89.08
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,87.26
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,93.85
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,52.99
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,25.16
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,18.01
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Stipendien,,,,20.12
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1027.28
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1007.94
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1031.44
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,982.49
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,Kalkulatorische Studienplatzkosten,,,,2375.7
