Year,Units,Art des Abwassers,Behandlung,Series,Value
2010,Prozent,,,Abwasser und Kühlwasser,100.0
2011,Prozent,,,Abwasser und Kühlwasser,100.0
2012,Prozent,,,Abwasser und Kühlwasser,100.0
2013,Prozent,,,Abwasser und Kühlwasser,100.0
2014,Prozent,,,Abwasser und Kühlwasser,100.0
2015,Prozent,,,Abwasser und Kühlwasser,100.0
2016,Prozent,,,Abwasser und Kühlwasser,100.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",11202690.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",10912539.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",10618410.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",1568324.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",1513440.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",1510666.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",9634366.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",9399099.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",9107744.0
2010,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",24153706.0
2011,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2012,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2013,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",16582729.0
2014,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2015,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2016,1 000 m³,Kühlwasser,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",15725418.0
