Year,Units,Ökosystem,COMMENT_OBS_0,Series,Value
2015,km²,Permanente Wasserfläche der Seen und Flüsse,,Gebiet,5851.0
2018,km²,Permanente Wasserfläche der Seen und Flüsse,,Gebiet,5881.0
2015,km²,Feuchtgebiete,,Gebiet,1548.0
2018,km²,Feuchtgebiete,,Gebiet,1559.0
2015,km²,Künstliche oder erheblich veränderte große Seen,,Gebiet,457.0
2018,km²,Künstliche oder erheblich veränderte große Seen,,Gebiet,473.0
2015,Prozent,Permanente Wasserfläche der Seen und Flüsse,,area as a proportion of total land area,1.635
2018,Prozent,Permanente Wasserfläche der Seen und Flüsse,,area as a proportion of total land area,1.644
2015,Prozent,Feuchtgebiete,,area as a proportion of total land area,0.433
2018,Prozent,Feuchtgebiete,,area as a proportion of total land area,0.436
2015,Prozent,Künstliche oder erheblich veränderte große Seen,,area as a proportion of total land area,0.128
2018,Prozent,Künstliche oder erheblich veränderte große Seen,,area as a proportion of total land area,0.132
2017,Prozent,Permanente Wasserfläche der Seen und Flüsse,.,area change in comparison to 2015,
2018,Prozent,Permanente Wasserfläche der Seen und Flüsse,,area change in comparison to 2015,0.519
2019,Prozent,Permanente Wasserfläche der Seen und Flüsse,…,area change in comparison to 2015,
2017,Prozent,Feuchtgebiete,.,area change in comparison to 2015,
2018,Prozent,Feuchtgebiete,,area change in comparison to 2015,0.711
2019,Prozent,Feuchtgebiete,…,area change in comparison to 2015,
2017,Prozent,Künstliche oder erheblich veränderte große Seen,.,area change in comparison to 2015,
2018,Prozent,Künstliche oder erheblich veränderte große Seen,,area change in comparison to 2015,3.501
2019,Prozent,Künstliche oder erheblich veränderte große Seen,…,area change in comparison to 2015,
