Year,Units,Value
2010,Millionen Tonnen,1306.0
2011,Millionen Tonnen,1379.0
2012,Millionen Tonnen,1254.0
2013,Millionen Tonnen,1266.0
2014,Millionen Tonnen,1274.0
2015,Millionen Tonnen,1198.0
2016,Millionen Tonnen,1221.0
2010,Tonnen pro Kopf,16.0
2011,Tonnen pro Kopf,17.2
2012,Tonnen pro Kopf,15.6
2013,Tonnen pro Kopf,15.7
2014,Tonnen pro Kopf,15.7
2015,Tonnen pro Kopf,14.7
2016,Tonnen pro Kopf,14.8
2010,Pro realem BIP (2015 = 100),118.3
2011,Pro realem BIP (2015 = 100),120.3
2012,Pro realem BIP (2015 = 100),108.8
2013,Pro realem BIP (2015 = 100),109.4
2014,Pro realem BIP (2015 = 100),107.6
2015,Pro realem BIP (2015 = 100),100.0
2016,Pro realem BIP (2015 = 100),99.7
