Year,Zeitreihe,Tourismuswirtschaftsbereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2011,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2012,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2013,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2014,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2015,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2016,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2017,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2018,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2019,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2020,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,433154.0
2021,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,458101.0
2022,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,493938.0
2023,Erwerbstätige,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,498001.0
2010,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2011,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2012,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2013,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2014,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2015,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2016,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2017,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2018,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2019,Erwerbstätige,Beherbergung von Besuchern: Sonstige,…,,,
2020,Erwerbstätige,Beherbergung von Besuchern: Sonstige,,,,521462.0
2021,Erwerbstätige,Beherbergung von Besuchern: Sonstige,,,,691160.0
2022,Erwerbstätige,Beherbergung von Besuchern: Sonstige,,,,667494.0
2023,Erwerbstätige,Beherbergung von Besuchern: Sonstige,,,,664668.0
2010,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2011,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2012,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2013,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2014,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2015,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2016,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2017,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2018,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2019,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2020,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,,,,1336699.0
2021,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,,,,1457238.0
2022,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,,,,1514878.0
2023,Erwerbstätige,Speisen und sonstige Verpflegungsdienstleistungen,,,,1541245.0
2010,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2011,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2012,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2013,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2014,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2015,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2016,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2017,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2018,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2019,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2020,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2021,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2022,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,,,,25222.0
2023,Erwerbstätige,Personenbeförderung im Eisenbahnfernverkehr,,,,25745.0
2010,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2011,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2012,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2013,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2014,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2015,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2016,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2017,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2018,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2019,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2020,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2021,Erwerbstätige,Personenbeförderung im Straßenverkehr,…,,,
2022,Erwerbstätige,Personenbeförderung im Straßenverkehr,,,,194485.0
2023,Erwerbstätige,Personenbeförderung im Straßenverkehr,,,,205032.0
2010,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2011,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2012,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2013,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2014,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2015,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2016,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2017,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2018,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2019,Erwerbstätige,Personenbeförderung in der Schifffahrt,…,,,
2020,Erwerbstätige,Personenbeförderung in der Schifffahrt,,,,8614.0
2021,Erwerbstätige,Personenbeförderung in der Schifffahrt,,,,8756.0
2022,Erwerbstätige,Personenbeförderung in der Schifffahrt,,,,9206.0
2023,Erwerbstätige,Personenbeförderung in der Schifffahrt,,,,8967.0
2010,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2011,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2012,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2013,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2014,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2015,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2016,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2017,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2018,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2019,Erwerbstätige,Personenbeförderung in der Luftfahrt,…,,,
2020,Erwerbstätige,Personenbeförderung in der Luftfahrt,,,,58297.0
2021,Erwerbstätige,Personenbeförderung in der Luftfahrt,,,,54734.0
2022,Erwerbstätige,Personenbeförderung in der Luftfahrt,,,,52686.0
2023,Erwerbstätige,Personenbeförderung in der Luftfahrt,,,,57060.0
2010,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2011,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2012,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2013,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2014,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2015,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2016,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2017,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2018,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2019,Erwerbstätige,Vermietung von Transportmitteln,…,,,
2020,Erwerbstätige,Vermietung von Transportmitteln,,,,34896.0
2021,Erwerbstätige,Vermietung von Transportmitteln,,,,41038.0
2022,Erwerbstätige,Vermietung von Transportmitteln,,,,45861.0
2023,Erwerbstätige,Vermietung von Transportmitteln,,,,43418.0
2010,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2011,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2012,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2013,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2014,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2015,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2016,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2017,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2018,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2019,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2020,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,,,,81779.0
2021,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,,,,79189.0
2022,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,,,,88512.0
2023,Erwerbstätige,Reisebüros und sonstige Reservierungsdienstleistungen,,,,84618.0
2010,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2011,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2012,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2013,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2014,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2015,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2016,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2017,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2018,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2019,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2020,Erwerbstätige,Kulturelle Aktivitäten,…,,,
2021,Erwerbstätige,Kulturelle Aktivitäten,,,,93922.0
2022,Erwerbstätige,Kulturelle Aktivitäten,,,,104048.0
2023,Erwerbstätige,Kulturelle Aktivitäten,,,,109369.0
2010,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2011,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2012,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2013,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2014,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2015,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2016,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2017,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2018,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2019,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2020,Erwerbstätige,Sport und Freizeitaktivitäten,…,,,
2021,Erwerbstätige,Sport und Freizeitaktivitäten,,,,306401.0
2022,Erwerbstätige,Sport und Freizeitaktivitäten,,,,320884.0
2023,Erwerbstätige,Sport und Freizeitaktivitäten,,,,312225.0
2010,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2011,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2012,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2013,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2014,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2015,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2016,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2017,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2018,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2019,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,…,,,
2020,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,387316.0
2021,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,412861.0
2022,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,447744.0
2023,Beschäftigte,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,451432.0
2010,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2011,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2012,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2013,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2014,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2015,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2016,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2017,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2018,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2019,Beschäftigte,Beherbergung von Besuchern: Sonstige,…,,,
2020,Beschäftigte,Beherbergung von Besuchern: Sonstige,,,,333052.0
2021,Beschäftigte,Beherbergung von Besuchern: Sonstige,,,,474192.0
2022,Beschäftigte,Beherbergung von Besuchern: Sonstige,,,,474307.0
2023,Beschäftigte,Beherbergung von Besuchern: Sonstige,,,,471128.0
2010,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2011,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2012,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2013,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2014,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2015,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2016,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2017,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2018,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2019,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,…,,,
2020,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,,,,1147866.0
2021,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,,,,1281136.0
2022,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,,,,1338977.0
2023,Beschäftigte,Speisen und sonstige Verpflegungsdienstleistungen,,,,1363796.0
2010,Beschäftigte,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2011,Beschäftigte,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2012,Beschäftigte,Personenbeförderung im Eisenbahnfernverkehr,…,,,
2013,Beschäftigte,Personenbeförderung im Eisenbahnfernverkehr,…,,,
