Year,Units,Verkehrsträger,Series,Value
2010,Millionen Personenkilometer,,passenger transport,1117240
2011,Millionen Personenkilometer,,passenger transport,1131004
2012,Millionen Personenkilometer,,passenger transport,1135558
2013,Millionen Personenkilometer,,passenger transport,1143475
2014,Millionen Personenkilometer,,passenger transport,1162942
2015,Millionen Personenkilometer,,passenger transport,1180646
2016,Millionen Personenkilometer,,passenger transport,1204775
2017,Millionen Personenkilometer,,passenger transport,1155136
2018,Millionen Personenkilometer,,passenger transport,1161885
2019,Millionen Personenkilometer,,passenger transport,1170186
2020,Millionen Personenkilometer,,passenger transport,945755
2010,Millionen Personenkilometer,Straßenverkehr,passenger transport,78092
2011,Millionen Personenkilometer,Straßenverkehr,passenger transport,77957
2012,Millionen Personenkilometer,Straßenverkehr,passenger transport,76019
2013,Millionen Personenkilometer,Straßenverkehr,passenger transport,76146
2014,Millionen Personenkilometer,Straßenverkehr,passenger transport,78786
2015,Millionen Personenkilometer,Straßenverkehr,passenger transport,81771
2016,Millionen Personenkilometer,Straßenverkehr,passenger transport,81445
2017,Millionen Personenkilometer,Straßenverkehr,passenger transport,79730
2018,Millionen Personenkilometer,Straßenverkehr,passenger transport,80103
2019,Millionen Personenkilometer,Straßenverkehr,passenger transport,78919
2020,Millionen Personenkilometer,Straßenverkehr,passenger transport,45735
2010,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,83886
2011,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,85414
2012,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,88795
2013,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,89615
2014,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,90976
2015,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,91603
2016,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,94196
2017,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,95530
2018,Millionen Personenkilometer,Eisenbahnverkehr,passenger transport,98061
