Year,Age,COMMENT_OBS,Value
2008,,estimated,8.5
2009,,estimated,8.0
2010,,estimated,7.4
2011,,,6.9
2012,,,8.6
2013,,,7.8
2014,,,6.5
2015,,,7.3
2016,,,9.4
2017,,,7.8
2018,,,8.6
2008,17 and under,estimated,12.8
2009,17 and under,,10.9
2010,17 and under,,7.6
2011,17 and under,,7.6
2012,17 and under,,6.8
2013,17 and under,,6.3
2014,17 and under,,9.1
2015,17 and under,,7.8
2016,17 and under,,12.6
2017,17 and under,,7.4
2018,17 and under,,11.4
2008,18 to 24,,5.1
2009,18 to 24,,7.0
2010,18 to 24,,12.5
2011,18 to 24,,9.7
2012,18 to 24,,14.9
2013,18 to 24,,13.4
2014,18 to 24,,5.8
2015,18 to 24,,10.6
2016,18 to 24,,21.3
2017,18 to 24,,13.8
2018,18 to 24,,12.0
2008,25 to 49,,5.2
2009,25 to 49,,5.9
2010,25 to 49,,5.1
2011,25 to 49,,4.1
2012,25 to 49,,7.1
2013,25 to 49,,5.5
2014,25 to 49,,5.1
2015,25 to 49,,4.5
2016,25 to 49,,7.3
2017,25 to 49,,5.3
2018,25 to 49,,7.3
2008,50 to 64,,6.0
2009,50 to 64,,6.6
2010,50 to 64,,4.8
2011,50 to 64,,5.4
2012,50 to 64,,8.0
2013,50 to 64,,8.6
2014,50 to 64,,3.7
2015,50 to 64,,7.7
2016,50 to 64,,6.7
2017,50 to 64,,8.0
2018,50 to 64,,7.5
2008,65 and over,,14.4
2009,65 and over,,11.3
2010,65 and over,,11.9
2011,65 and over,,11.6
2012,65 and over,,10.9
2013,65 and over,,10.1
2014,65 and over,,9.1
2015,65 and over,,9.8
2016,65 and over,,8.7
2017,65 and over,,9.5
2018,65 and over,,8.1
