Year,Zeitreihe,Technologie,Value
2010,population using safely managed drinking water services (%),,100.0
2011,population using safely managed drinking water services (%),,100.0
2012,population using safely managed drinking water services (%),,100.0
2013,population using safely managed drinking water services (%),,100.0
2014,population using safely managed drinking water services (%),,100.0
2015,population using safely managed drinking water services (%),,100.0
2016,population using safely managed drinking water services (%),,100.0
2017,population using safely managed drinking water services (%),,100.0
2018,population using safely managed drinking water services (%),,100.0
2019,population using safely managed drinking water services (%),,100.0
2020,population using safely managed drinking water services (%),,100.0
2010,a) population using safely managed sanitation services (%),,
2011,a) population using safely managed sanitation services (%),,98.6
2012,a) population using safely managed sanitation services (%),,98.61
2013,a) population using safely managed sanitation services (%),,99.4
2014,a) population using safely managed sanitation services (%),,99.52
2015,a) population using safely managed sanitation services (%),,99.42
2016,a) population using safely managed sanitation services (%),,99.4
2017,a) population using safely managed sanitation services (%),,99.53
2018,a) population using safely managed sanitation services (%),,
2019,a) population using safely managed sanitation services (%),,99.62
2020,a) population using safely managed sanitation services (%),,
2010,Bevölkerung mit Zugang zu Elektrizität,,100.0
2011,Bevölkerung mit Zugang zu Elektrizität,,100.0
2012,Bevölkerung mit Zugang zu Elektrizität,,100.0
2013,Bevölkerung mit Zugang zu Elektrizität,,100.0
2014,Bevölkerung mit Zugang zu Elektrizität,,100.0
2015,Bevölkerung mit Zugang zu Elektrizität,,100.0
2016,Bevölkerung mit Zugang zu Elektrizität,,100.0
2017,Bevölkerung mit Zugang zu Elektrizität,,100.0
2018,Bevölkerung mit Zugang zu Elektrizität,,100.0
2019,Bevölkerung mit Zugang zu Elektrizität,,100.0
2020,Bevölkerung mit Zugang zu Elektrizität,,100.0
2010,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2011,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2012,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2013,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2014,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2015,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,99.9
2016,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,99.9
2017,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,99.9
2018,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,99.9
2019,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,99.9
2020,"Anteil der ländlichen Bevölkerung, der höchstens 2 km von einer ganzjährig befahrbaren Straße entfernt lebt",,
2010,households covered by 3g or lte,3G,86.6
2011,households covered by 3g or lte,3G,88.5
2012,households covered by 3g or lte,3G,90.4
2013,households covered by 3g or lte,3G,92.2
2014,households covered by 3g or lte,3G,92.5
2015,households covered by 3g or lte,3G,91.9
2016,households covered by 3g or lte,3G,91.4
2017,households covered by 3g or lte,3G,90.6
2018,households covered by 3g or lte,3G,
2019,households covered by 3g or lte,3G,
2020,households covered by 3g or lte,3G,
2010,households covered by 3g or lte,LTE,2.1
2011,households covered by 3g or lte,LTE,21.5
2012,households covered by 3g or lte,LTE,51.7
2013,households covered by 3g or lte,LTE,81.0
2014,households covered by 3g or lte,LTE,92.1
2015,households covered by 3g or lte,LTE,95.7
2016,households covered by 3g or lte,LTE,96.2
2017,households covered by 3g or lte,LTE,96.2
2018,households covered by 3g or lte,LTE,
2019,households covered by 3g or lte,LTE,
2020,households covered by 3g or lte,LTE,
2010,population that has convenient access to public transport (within 500 meters) (%),,
2011,population that has convenient access to public transport (within 500 meters) (%),,
2012,population that has convenient access to public transport (within 500 meters) (%),,
2013,population that has convenient access to public transport (within 500 meters) (%),,
2014,population that has convenient access to public transport (within 500 meters) (%),,
2015,population that has convenient access to public transport (within 500 meters) (%),,
2016,population that has convenient access to public transport (within 500 meters) (%),,78.95
2017,population that has convenient access to public transport (within 500 meters) (%),,
2018,population that has convenient access to public transport (within 500 meters) (%),,79.9
2019,population that has convenient access to public transport (within 500 meters) (%),,
2020,population that has convenient access to public transport (within 500 meters) (%),,
2010,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2011,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2012,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2013,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2014,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2015,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2016,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2017,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2018,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2019,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
2020,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",,100.0
