Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2011,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2012,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2013,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2014,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2015,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2016,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2017,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2018,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2019,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2020,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,.,,,
2021,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,,,,99.8
2022,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,,,,99.8
2023,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,,,,99.9
2024,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens vor Sozialleistungen,,,,100.0
2010,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2011,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2012,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2013,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2014,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2015,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2016,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2017,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2018,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2019,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2020,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,.,,,
2021,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,,,,99.9
2022,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,,,,99.9
2023,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,,,,99.9
2024,Gini-Koeffizient des verfügbaren Äquivalenzeinkommens,,,,99.9
2010,Umverteilende Wirkung der Fiskalpolitik,.,,,
2011,Umverteilende Wirkung der Fiskalpolitik,.,,,
2012,Umverteilende Wirkung der Fiskalpolitik,.,,,
2013,Umverteilende Wirkung der Fiskalpolitik,.,,,
2014,Umverteilende Wirkung der Fiskalpolitik,.,,,
2015,Umverteilende Wirkung der Fiskalpolitik,.,,,
2016,Umverteilende Wirkung der Fiskalpolitik,.,,,
2017,Umverteilende Wirkung der Fiskalpolitik,.,,,
2018,Umverteilende Wirkung der Fiskalpolitik,.,,,
2019,Umverteilende Wirkung der Fiskalpolitik,.,,,
2020,Umverteilende Wirkung der Fiskalpolitik,.,,,
2021,Umverteilende Wirkung der Fiskalpolitik,,,,99.5
2022,Umverteilende Wirkung der Fiskalpolitik,,,,99.8
2023,Umverteilende Wirkung der Fiskalpolitik,,,,99.9
2024,Umverteilende Wirkung der Fiskalpolitik,,,,99.9
