Year,Units,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,,.,,,
2011,Millionen EUR,,.,,,
2012,Millionen EUR,,.,,,
2013,Millionen EUR,,.,,,
2014,Millionen EUR,,.,,,
2015,Millionen EUR,,.,,,
2016,Millionen EUR,,.,,,
2017,Millionen EUR,,.,,,
2018,Millionen EUR,,.,,,
2019,Millionen EUR,,.,,,
2020,Millionen EUR,,.,,,
2021,Millionen EUR,,,,,2.8
2022,Millionen EUR,,,,,67.0
2023,Millionen EUR,,,,,96.9
2024,Millionen EUR,,,,,99.3
2010,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2011,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2012,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2013,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2014,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2015,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2016,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2017,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2018,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2019,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2020,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),.,,,
2021,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),,,,7.2
2022,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),,,,69.9
2023,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),,,,98.9
2024,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),,,,99.5
2010,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2011,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2012,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2013,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2014,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2015,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
2016,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),.,,,
