Year,Units,Feinstaub,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,96.4
2018,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,96.5
2020,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,96.8
2016,Mikrogramm pro m³,"PM₂,₅",.,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,87.6
2018,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,88.0
2020,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,85.7
2016,Millionen Einwohner/-innen,"PM₂,₅",,,,Bevölkerung mit erhöhter Feinstaubexposition,56.5
2018,Millionen Einwohner/-innen,"PM₂,₅",,,,Bevölkerung mit erhöhter Feinstaubexposition,61.6
2020,Millionen Einwohner/-innen,"PM₂,₅",,,,Bevölkerung mit erhöhter Feinstaubexposition,62.2
2016,Millionen Einwohner/-innen,PM₁₀,,,,Bevölkerung mit erhöhter Feinstaubexposition,66.9
2018,Millionen Einwohner/-innen,PM₁₀,,,,Bevölkerung mit erhöhter Feinstaubexposition,69.4
2020,Millionen Einwohner/-innen,PM₁₀,,,,Bevölkerung mit erhöhter Feinstaubexposition,69.5
