Year,Units,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,663277.872
2011,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,721906.235
2012,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,647472.574
2013,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,691191.449
2014,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,95006.743
2015,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1016743.106
2016,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,999487.083
2017,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1055998.531
2018,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1088453.571
2019,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1015539.574
2020,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1132564.694
2021,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,886783.804
2022,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,937887.546
2023,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,958526.412
2024,"Millionen USD, konstante Preise (2023)",Wasserversorgung und Abwasserentsorgung,,,,1360072.059
2010,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,392445.209
2011,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,273620.189
2012,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,349358.457
2013,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,459091.052
2014,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,146548.705
2015,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,588431.591
2016,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,508242.248
2017,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,321518.139
2018,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,449975.083
2019,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,632753.577
2020,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,457726.79
2021,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,249469.487
2022,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,329566.855
2023,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,389473.037
2024,"Millionen USD, konstante Preise (2023)",Transport und Lagerung,,,,472617.868
2010,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,30337.952
2011,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,11341.024
2012,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,7875.446
2013,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,32207.326
2014,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,78913.659
2015,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,34258.275
2016,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,18668.141
2017,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,35700.108
2018,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,37152.063
2019,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,72458.881
2020,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,73543.804
2021,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,108345.896
2022,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,152659.185
2023,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,59899.038
2024,"Millionen USD, konstante Preise (2023)",Kommunikation,,,,52766.236
2010,"Millionen USD, konstante Preise (2023)",Energie,,,,1541403.069
2011,"Millionen USD, konstante Preise (2023)",Energie,,,,1306215.518
2012,"Millionen USD, konstante Preise (2023)",Energie,,,,883059.357
2013,"Millionen USD, konstante Preise (2023)",Energie,,,,1302475.102
2014,"Millionen USD, konstante Preise (2023)",Energie,,,,1689936.222
2015,"Millionen USD, konstante Preise (2023)",Energie,,,,2206091.777
2016,"Millionen USD, konstante Preise (2023)",Energie,,,,2281772.448
2017,"Millionen USD, konstante Preise (2023)",Energie,,,,1975850.102
2018,"Millionen USD, konstante Preise (2023)",Energie,,,,2241472.263
2019,"Millionen USD, konstante Preise (2023)",Energie,,,,2225422.648
2020,"Millionen USD, konstante Preise (2023)",Energie,,,,1986819.055
2021,"Millionen USD, konstante Preise (2023)",Energie,,,,1783600.044
2022,"Millionen USD, konstante Preise (2023)",Energie,,,,2484976.865
2023,"Millionen USD, konstante Preise (2023)",Energie,,,,2452407.901
2024,"Millionen USD, konstante Preise (2023)",Energie,,,,2935893.862
2010,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,93832.102
2011,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,128674.245
2012,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,105854.251
2013,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,68467.441
2014,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,7186.098
2015,"Millionen USD, konstante Preise (2023)",Stadtentwicklung und Stadtverwaltung,,,,8851.969
