Year,Units,Art der Abfallbehandlung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2011,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2012,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.1
2013,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.1
2014,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.3
2015,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.2
2016,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.5
2017,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.1
2018,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,10.6
2019,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,9.7
2020,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,11.2
2021,Kilogramm pro Kopf,,|,,,a) Aufkommen gefährlicher Abfälle,10.9
2022,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,11.6
2023,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,12.1
2024,Kilogramm pro Kopf,,|,,,a) Aufkommen gefährlicher Abfälle,12.9
2010,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2011,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,,,,,b) Behandelte gefährliche Abfälle,17.8
2013,Prozent,,,,,b) Behandelte gefährliche Abfälle,17.7
2014,Prozent,,,,,b) Behandelte gefährliche Abfälle,17.9
2015,Prozent,,,,,b) Behandelte gefährliche Abfälle,17.6
2016,Prozent,,,,,b) Behandelte gefährliche Abfälle,18.1
2017,Prozent,,,,,b) Behandelte gefährliche Abfälle,17.4
2018,Prozent,,,,,b) Behandelte gefährliche Abfälle,18.2
2019,Prozent,,,,,b) Behandelte gefährliche Abfälle,16.3
2020,Prozent,,,,,b) Behandelte gefährliche Abfälle,18.9
2021,Prozent,,|,,,b) Behandelte gefährliche Abfälle,18.2
2022,Prozent,,,,,b) Behandelte gefährliche Abfälle,19.3
